CANNOT PLAY\n|KANN NICHT SPIELEN\n
Shield Duration|Schilddauer
Inventory Pings?|Inventar-Pings?
_|_
Think of this mutually, I can 'see' a little further outside this can...|Denken Sie gemeinsam darüber nach, ich kann etwas weiter außerhalb davon „sehen“ ...
Face|Gesicht
GATE_UW_LC|GATE_UW_LC
Special thanks to the following people!|Besonderer Dank geht an folgende Personen!
Hold (|Halten (
Legs|Beine
ad2424|ad2424
...and you can gather more of that data you so clearly desire.|...und Sie können mehr Daten sammeln, die Sie sich so sehr wünschen.
Max Pearl Count|Max Pearl Count
oa_max_fric_speed|oa_max_fric_speed
Balagaga|Balagaga
loadedsoundeffects/ambient|geladene Soundeffekte/Ambien
Brought me something to read? Or just wasting my time, as per usual?|Hast du mir etwas zum Lesen mitgebracht? Oder wie üblich nur meine Zeit verschwenden?
Back again? I hope you have brought me something this time.|Wieder zurück? Ich hoffe, du hast mir dieses Mal etwas mitgebracht.
pearlcat_7|Pearlcat_7
I assure you it will be a more than suitable replacement for your primitive needs.|Ich versichere Ihnen, dass es ein mehr als geeigneter Ersatz für Ihre primitiven Bedürfnisse sein wird.
Pebbles_AS_PearlBlack|Pebbles_AS_PearlBlack
Chimney Canopy|Kaminüberdachung
I do not have much else to occupy my time with these days...|Ich habe heutzutage nicht viel anderes, womit ich meine Zeit verbringen kann ...
pearlcat_structure1|pearlcat_structure1
warp|Kette
LizardBubble6|LizardBubble6
pearlcat_structure6|pearlcat_structure6
pearlcat_topshutter|pearlcat_topshutter
GravityDisruptor|Schwerkraftdisruptor
GATE_SL_MS|GATE_SL_MS
L-Stick|L-Stick
Shield Recharge Time|Wiederaufladezeit des Schildes
oa_min_fric_mult|oa_min_fric_mult
oa_max_speed|oa_max_speed
pearl|Perle
T1_CAR2|T1_CAR2
pearlcatScarfC0|PearlcatScarfC0
ear_r|Ohr_r
Custom Keybind?|Benutzerdefinierte Tastenkombination?
If you do not plan to provide me with any meaningful data, that is your best course of action;|Wenn Sie nicht vorhaben, mir aussagekräftige Daten zur Verfügung zu stellen, ist dies die beste Vorgehensweise;
Custom Agility Keybind?|Benutzerdefinierte Agilitäts-Tastenkombination?
mayhemmm|Chaosmm
HI|HALLO
Transit System|Transportsystem
Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Zeit in Frames, nach der Aktivierung hält der gelbe Perlmuttschutz an. Standardmäßig 1,5 Sekunden.
store_object_delay|store_object_delay
BigGlyph12|BigGlyph12
) or (|) oder (
pearlcatFeetA0|PearlcatFeetA0
Keybind for Player 3.|Tastenkombination für Spieler 3.
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|ROT symbolisiert Macht. Wenn eine rote Perle aktiv ist, wird die nächstgelegene feindliche Kreatur angegriffen
Ah, yet another one? You are even better at finding these than I imagined...|Ah, noch einer? Du bist sogar noch besser darin, diese zu finden, als ich es mir vorgestellt habe ...
) & (|) & (
Swap Right|Rechts tauschen
SPECEVENT|SPECEVENT
pearlcat_spire5|pearlcat_spire5
...there.|...Dort.
DistantBkgObject|DistantBkgObject
GW|GW
Release|Freigeben
Futile_White|Sinnlos_Weiß
BM_SB_SUBWAY|BM_SB_SUBWAY
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Wenn diese Option aktiviert ist, erscheint Pearlpup im nächsten Zyklus im nächsten Tierheim wieder, wenn es verloren geht.
You would be a hard one to forget after all, <PlayerName>!|Es ist schließlich schwer, dich zu vergessen, <Spielername>!
HowlingRift|HeulenderRift
Starting Inventory Override?|Bestandsüberschreibung starten?
UW|UW
I think I may still have some use left after all!~|Ich denke, ich habe vielleicht doch noch etwas zu gebrauchen!~
Foreground|Vordergrund
OVERRODE MSC LOAD ORDER - MOD LOAD ORDER:|MSC-Ladereihenfolge außer Kraft gesetzt – Mod-Ladereihenfolge:
Read this one too? Yes, yes, here it is...|Lesen Sie das auch? Ja, ja, hier ist es...
RW_Outro_Theme|RW_Outro_Theme
GhostDistortion|GhostDistortion
Player 4|Spieler 4
-|-
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|BLAU symbolisiert Agilität. Jede gespeicherte blaue Perle ermöglicht einen zusätzlichen Doppelsprung
Alternatively, hold (|Alternativ halten Sie (
Enable Backspear?|Backspear aktivieren?
When checked, disables the camoflague effect granted by an active pearl.|Wenn diese Option aktiviert ist, wird der Tarneffekt deaktiviert, der durch eine aktive Perle gewährt wird.
40|40
I already read this one. I can read it again, I suppose.|Das habe ich bereits gelesen. Ich schätze, ich kann es noch einmal lesen.
R-Stick|R-Stick
pearlcat_cloak|pearlcat_cloak
.meta|.Meta
\nLungsFac |\nLungsFac
Keybind for Player 1.|Tastenkombination für Spieler 1.
train_view_yshift|train_view_yshift
SU|SU
Songs|Lieder
hips|Hüften
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|Für welchen Player-Controller-Trigger-Austausch gilt? 0 deaktiviert den Triggeraustausch. Zum Ändern gedrückt halten und nach oben oder unten ziehen.
I must resume my work. I will be waiting here, as always.|Ich muss meine Arbeit wieder aufnehmen. Ich werde wie immer hier warten.
