START|INIZIO
Welcome back, <PlayerName>!|Bentornato, <Playername>!
s|S
Whichever path you take, I hope you find the help that you seek.|Qualunque sia il percorso che prendi, spero che tu trovi l'aiuto che cerchi.
Cheats|Trucchi
...familiar ...help... please...|... familiare ... aiuto ... per favore ...
HUD|HUD
, pearlcatMiscWorld.Inventory.Select(x => $|, PearlCatmiscworld.inventory.select (x => $
Oh, hello! Hello!|Oh, ciao! Ciao!
I would guess they will grow up into quite the scholar themself, someday...|Immagino che diventeranno loro stessi degli studiosi, un giorno...
A scholar with the ability to manipulate pearls...? Oh... yes! I remember!|Uno studioso con la capacità di manipolare le perle ...?Oh si!Mi ricordo!
legs|gambe
Something new to read... it has been too long...|Qualcosa di nuovo da leggere... è passato troppo tempo...
Hello again, <PlayerName>!|Ciao di nuovo, <PlayerName>!
pearlcat_nightsky|Pearlcat_ightsky
. . .|. . .
Sorry if I seem a little slow by the way, we are designed to operate with millions of neurons, as opposed to, well...|Scusa se sembro un po 'lento a proposito, siamo progettati per operare con milioni di neuroni, al contrario, beh ...
I'm just so glad you're safe, too many things have come into my memory, only to be washed away...|Sono così felice che tu sia al sicuro, troppe cose sono venute nella mia memoria, solo per essere lavato via ...
a486c2|A486C2
HologramBehindTerrain|OlogrammaDietroTerrain
2: |2:
{nameof(SaveMiscWorld.ActiveObjectIndex)}:\n{string.Join(|{nameof (saveMiscworld.ActiveObjectIndex)}: \ n {String.Join (
Back again? I hope you have brought me something this time.|Di nuovo indietro? Spero che tu mi abbia portato qualcosa questa volta.
PEARLCAT MISC PROGRESSION:\n|Pearlcat Misc Progressione: \ n
Sound Hooks Error:\n|Errore hook audio:\n
#|#
face_sick|face_sick
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Sembra contenere un inno che un tempo significava molto per gli abitanti della mia città...
SS_T1_CROSS|Ss_t1_cross
Oh! It is good to see you two again!|OH! È bello rivedervi!
CloudDistant|CloudDistant
{nameof(SaveMiscProgression.StoredPearlColors)}:\n{string.Join(|{nameof (saveMiscprogression.storedPearlColors)}: \ n {String.Join (
{nameof(SaveMiscWorld.ShownSpearCreationTutorial)}: {pearlcatMiscWorld.ShownSpearCreationTutorial}\n|{nameof (savemiscworld.ShownSpearCreationTutorial)}: {PearlCatmiscworld.ShownSpearCreationTUtoricale} \ n
pearlcatFeetA0|perlagattoPiediA0
Disable Cosmetics?|Disabilitare i cosmetici?
Begin at the start of the Mira storyline...<LINE>The world will be preserved, and pearls will carry over!|Inizia all'inizio della trama di Mira ... <fine> Il mondo sarà preservato e le perle si riporteranno!
pearl|perla
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|Mi hai fatto prendere un bel spavento! Non ricevo spesso visite in questi giorni;<LINE>tanto meno visitatori come te, con cui posso parlare...
pearlpup_adulttail|Pearlpup_Adulttail
Yes, help yourself. They are not edible.|Sì, aiutati. Non sono commestibili.
)|)
The choice is yours.|La scelta è tua.
Swap Pearl|Scambiare perla
Hello again, strange scholar!|Ciao di nuovo, strano studioso!
Keybind for Player 1.|Combinazione di tasti per il giocatore 1.
Sidera |Sidera
MISC WORLD NOT FOUND! (not in story session?)\n|MISC WORLD NON TROVATO!(Non nella sessione della storia?) \ N
SI|SI
I won't be going anywhere any time soon... if you need company, you know who to visit!|Non andrò da nessuna parte presto ... se hai bisogno di compagnia, sai chi visitare!
pearlcat_hudheart|Pearlcat_hudheart
GravityDisruptor|Disgregatore Gravitazionale
pup_sick|pup_sick
pearlcat_hudshadow|pearlcat_hudshadow
pearlcat_3|perlacat_3
Trigger Player|Attiva giocatore
 - |-
pupheart|PUPHEART
DID NOT PREVENT RELEASE|Non ha impedito il rilascio
...and what happened to your parent...|... e cosa è successo al tuo genitore ...
JetFishEyeA|JetFishEyeA
loadedsoundeffects/ambient|effetti sonori caricati/ambiente
pearlcat_light1|pearlcat_light1
pearlactiveplaceholder|segnaposto perlaattivo
HI|CIAO
Max Pearl Count|Numero massimo di perle
You would be a hard one to forget after all, strange scholar!|Saresti difficile da dimenticare dopo tutto, strano studioso!
Multiple red pearls may chain this effect together - and yes, these batflies are VERY HOSTILE!|Più perle rosse possono incatenare questo effetto insieme - e sì, queste battute sono molto ostili!
T1_CAR3|T1_CAR3
Keybind for Player 2.|Combinazione di tasti per il giocatore 2.
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Non ho niente per te, temo... ma spero che tu trovi le risposte che cerchi.
Camo Pearl Count|Conte di perle mimetiche
Laser Windup TIme (OLD)|Tempo di WindUp laser (vecchio)
The Gutter|La grondaia
Good luck, mysterious scholar.|Buona fortuna, studioso misterioso.
) or (|) O (
Oh, hello strange scholar!|Oh, ciao strano studioso!
I see you've returned, yet again.|Vedo che sei tornato, ancora una volta.
Welcome back, <PlayerName>, and your little one too.|Bentornato, <PlayerName>, e anche al tuo piccolo.
, pearlcatMiscWorld.ActiveObjectIndex)}\n|, PearlCatMiscworld.ActiveObjectIndex)} \ n
pearlcat_4|perlacat_4
Body|Corpo
HANDLED: Shield Sentry Sound Exception:\n|GESTITO: Shield Sentry Sound Eccezione:\n
pearlcatScar|PearlcatScar
I have sent a request for the stationary cargo transports in my city to resume operation.|Ho inviato una richiesta per i trasporti di carico stazionari nella mia città per riprendere il funzionamento.
Custom Agility Keybind?|Combinazione di tasti di agilità personalizzata?
 Pearlpup will be revived.|Pearlpup verrà rianimato.
My neighbour, Five Pebbles, is a little temperamental, but means well.|Il mio vicino, Five Pebbles, è un po' capriccioso, ma ha buone intenzioni.
To release possession, try to deploy the pearl as a sentry, or try to retrieve the pearl|Per rilasciare il possesso, prova a distribuire la perla come sentinella o prova a recuperare la perla
{nameof(SaveState.cycleNumber)}: {saveState.cycleNumber}\n|{nameof (savestate.cyclenumber)}: {savestate.cyclenumber} \ n
HoloGrid|HoloGrid
pearlcat_cloak|pearlcat_cloak
<oA>|<oA>
I cannot guarantee anything - these locomotives have not been operational since my facility was placed into lockdown...|Non posso garantire nulla: queste locomotive non sono state operative poiché la mia struttura è stata messa in blocco ...
Hello, again. You are very curious. Very curious indeed.|Ciao di nuovo. Sei molto curioso. Davvero molto curioso.
pearlpup_tail|pearlpup_tail
FIND MIRA...|Trova Mira ...
RegionGate_Heater|Regiongate_heater
TurtleMan27|Tartaruga27
Clearly an artifical creation. But from where? Sent by who?|Chiaramente una creazione artificiale. Ma da dove? Inviato da chi?
And please keep your child under control.|E per favore tieni tuo figlio sotto controllo.
Pearl Spear Count: {pearlcatMiscWorld.PearlSpears.Keys.Count}\n|COUNT SPEAR perla: {Pearlcatmiscworld.pearlspears.keys.Count} \ n
8f1800|8f1800
Pebbles_SS_Pearlcat|Pebbles_SS_Pearlcat
Grab a creature and hold (GRAB) with an active green pearl to revive them|Afferra una creatura e tieni premuto (PRENDI) con una perla verde attiva per farla rivivere
Linnnnnna |Linnnnnna
Sentry KB|Sentry KB
pcat_withpup|pcat_withpup
SleevePearlpup|Sleevepearlpup
...and you can gather more of that data you so clearly desire.|... e puoi raccogliere più di quei dati che desideri così chiaramente.
Player 4|Giocatore 4
.NET Framework 4.8|.NET Framework 4.8
For now, my only lens into the outside is those pearls you carry.|Per ora, la mia unica lente all'esterno è quelle perle che porti.
), or the triggers on controller|) o i trigger sul controller
Hello again, strange scholar...|Ciao di nuovo, strano studioso ...
... |...
850000|850000
Nevermind... this anger is useless...|Non importa... questa rabbia è inutile...
pup_drawings|pup_drawings
) while in the air to perform a double jump|) mentre sei in aria per eseguire un doppio salto
RED symbolizes power. With a red pearl active, all stored red pearls will circle you|Il rosso simboleggia il potere.Con una perla rossa attiva, tutte le perle rosse immagazzinate ti circonderanno
SB|SB
{nameof(SaveMiscProgression.IsPearlpupSick)}: {pearlcatMiscProg.IsPearlpupSick}\n|{nameof (savemiscprogression.ispearlpupsick)}: {Pearlcatmiscprog.ispearlpupsick} \ n
thing|cosa
...are you alright, little one? The modifications to your body are quite... unusual.|... Stai bene, piccolo?Le modifiche al tuo corpo sono abbastanza ... insolite.
pearlcatScarfA0|gatto di perleSciarpaA0
Surely it must be another little beast with a pearl for a heart?|Sicuramente deve essere un'altra piccola bestia con una perla per un cuore?
Elliot|Eliot
I can only hope you have not come... to hurt me more.|Posso solo sperare che tu non sia venuto... per ferirmi di più.
.txt|.TXT
Press (|Premere (
Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Tempo in fotogrammi per l'attivazione del laser di una perla rossa dopo aver acquisito un bersaglio. Predefinito 1,5 secondi.
{nameof(SaveMiscWorld.MoonSickPupMeetCount)}: {pearlcatMiscWorld.MoonSickPupMeetCount}\n|{nameof (savemiscworld.moonsickpupmeetCount)}: {Pearlcatmiscworld.moonsickpupmeetCount} \ n
So please, bring me more, as long as it isn't too dangerous for you... these visits really are the highlight of my days here...|Quindi per favore, portami di più, purché non sia troppo pericoloso per te ... queste visite sono davvero il momento clou dei miei giorni qui ...
...there.|...Là.
Oh, hello there!|Oh, ciao!
JOLLY: {ModManager.JollyCoop}\n|Jolly: {modmanager.jollycoop} \ n
Sentry P2|Sentry P2
I'm kidding, of course! My imagination will suffice, though the curiosity does burn me up inside...|Sto scherzando, ovviamente!La mia immaginazione sarà sufficiente, anche se la curiosità mi brucia dentro ...
Back again? You do visit often...|Di nuovo indietro? Ci visiti spesso...
T1_START|T1_START
{nameof(SaveState.malnourished)}: {saveState.malnourished}\n|{nameof (savestate.malnourished)}: {savestate.malnourished} \ n
Pearl Threat Music?|La musica della minaccia delle perle?
pearlcat_glyphcooldown|pearlcat_glyphcooldown
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Numero massimo di perle che possono essere conservate contemporaneamente, inclusa la perla attiva. L'impostazione predefinita è 9. Tenere premuto e trascinare verso l'alto o verso il basso per modificare.
I do so wish you could tell me what happened on your travels... I hardly remember the last time I saw beyond this chamber...|Lo faccio, vorrei che tu potessi dirmi cosa è successo nei tuoi viaggi ... Non ricordo quasi l'ultima volta che ho visto oltre questa camera ...
haloGlyph5|haloGlifo5
VS|CONTRO
------------------------------|----------------------------------
Outro2_1|Outro2_1
Swap Input|Scambia ingresso
pearlcat_revivesentry|pearlcat_revivesentry
BigGlyph8|BigGlyph8
PEARLCAT_MIRA_SKIP|Pearlcat_mira_skip
Difficulty|Difficoltà
Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Tempo in frame per ricaricare il laser di una perla rossa dopo aver sparato. Predefinito 1,5 secondi.
Hello! I remember you! I remember...|Ciao! Mi ricordo di te! Mi ricordo...
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Quando selezionate, le perle non concedono più modifiche alle statistiche, attive o meno, e le statistiche di base sono impostate per essere simili a Hunter.
Is my memory so bad to forget how your little one looks? They seem paler...|La mia memoria è così brutta da dimenticare l'aspetto del tuo piccolo? sembrano più pallidi...
Sick|Malato
pearlcat_6|perlacat_6
TIME: {DateTime.UtcNow}\n|Tempo: {datetime.utcnow} \ n
AltOutro10_1|Altoutro10_1
I believe that child was you.|Credo che quel bambino fossi tu.
Atlas not found! ({uniqueName})|Atlante non trovato! ({nome unico})
Given your unique abilities, if you are curious as to the contents of those pearls -|Date le tue abilità uniche, se sei curioso di sapere il contenuto di quelle perle...
You and your family are always welcome here - please visit often!|Tu e la tua famiglia siete sempre i benvenuti qui - visita spesso!
Futile_White|Futile_Bianco
Pearl spears will attempt to return to you being thrown, if they are not stuck|Pearl Spears tenterà di tornare a essere lanciato, se non sono bloccati
The company of you and your friend makes my day, strange scholar.|La compagnia di te e del tuo amico rende la mia giornata, strano studioso.
pearlcat_8|perlacat_8
Face|Viso
Custom Sentry Keybind?|Combinazione di tasti sentinella personalizzata?
I must resume my work. I will be waiting here, as always.|Devo riprendere il mio lavoro. Aspetterò qui, come sempre.
JaggedSquare|Quadrato frastagliato
HoldButtonCircle|HoldButtoncircle
Laser Recharge Time (OLD)|Tempo di ricarica laser (vecchio)
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Uno studioso di origini oscure, armato di un'energia enigmatica e una sete di conoscenza.<LINE>Fisicamente fragile, ma con le perle come alleate - cosa scoprirai durante i tuoi viaggi?
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
When checked, disables the camoflague effect granted by an active pearl.|Quando selezionata, disabilita l'effetto mimetico concesso da una perla attiva.
fcb103|fcb103
Hold (|Presa (
Your attachment to that thing is unavoidable, I suppose.|Il tuo attaccamento a quella cosa è inevitabile, suppongo.
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|Il BLU simboleggia l'agilità. Ogni perla blu immagazzinata fornirà un doppio salto aggiuntivo
I hope you are staying safe out there...|Spero che tu stia al sicuro là fuori...
I have so little... please don't take... this... this is all I have...|Ho così poco ... per favore non prendere ... questo ... questo è tutto ciò che ho ...
I know that quite well.|Lo so abbastanza bene.
PEARLCAT OE ENDING|FINE GATTO PERLATO OE
Balagaga|Balagaga
If only I had my memories, I might have a clue...|Se solo avessi i miei ricordi, potrei avere un indizio...
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Sono ancora più che felice di leggere le perle che mi porti;<LINE>soprattutto viste le tue abilità uniche.
scholar|studioso
MERGEFIX VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Versione MergeFix: {modMmanager.activeMods.firsterDodefault (x => x.id ==
And why... to me?|E perché... a me?
Store Input|Memorizza ingresso
pixel|pixel
pearlcat_spire3|pearlcat_spire3
pearlcat_support_night|Pearlcat_Support_night
Intended to make gameplay more challenging, may change gameplay significantly!|Destinato a rendere il gameplay più impegnativo, può cambiare in modo significativo il gameplay!
Hello. Again.|Ciao.Ancora.
LF|LF
{nameof(SaveMiscProgression.Ascended)}: {pearlcatMiscProg.Ascended}\n|{nameof (savemiscprogression.asced)}: {Pearlcatmiscprog.asced} \ n
{nameof(SaveMiscProgression.IsNewPearlcatSave)}: {pearlcatMiscProg.IsNewPearlcatSave}\n|{nameof (savemiscprogression.isnewpearlcatSave)}: {PearlcatMiscprog.isnewpearlcatSave} \ n
When checked, some abilties will show the inventory when recharged or depleted.|Se selezionato, alcune abilità mostreranno l'inventario quando sono cariche o esaurite.
head|Testa
PEARLCAT WARP END|Estremità dell'ordito del gatto di perle
5|5
Welcome back, I suppose.|Bentornato, suppongo.
Sentry P1|Sentry P1
MSC|MSC
Disable Revive Effect?|Disattivare l'effetto di rianimazione?
OE|O.E
Swap Right|Scambia a destra
Button South|Bottone Sud
GateHologram|CancelloOlogramma
Please, stay as long as you'd like, I can't begin to imagine what you've been through.|Per favore, resta tutto il tempo che desideri, non posso iniziare a immaginare cosa hai passato.
Debug|Debug
soundeffects/ambient|effetti sonori/ambiente
FORCE CREATURE RELEASE UNDER ROOM|Forzare il rilascio della creatura sotto la stanza
pcat_sad|pcat_sad
OnModsInit:\n|OnModsInit:\n
When checked, disables the revive effect granted by an active pearl.|Quando selezionato, disabilita l'effetto di rianimazione concesso da una perla attiva.
REDIRECT:|REINDIRIZZARE:
Player 1|Giocatore 1
{nameof(SaveState.denPosition)}: {saveState.denPosition}\n|{nome di (salva statale.deposition)}: {savestate.deposition} \ n
...but... I will think on your problem, for now. Perhaps I can find a solution for both of us.|...ma... penserò al tuo problema, per ora. Forse posso trovare una soluzione per entrambi.
Disable Rage Effect?|Disattivare l'effetto rabbia?
Lolight2|Lolight2
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Quando selezionato, i cosmetici di Pearlcat saranno disabilitati, destinati a consentire sprite personalizzati tramite DMS. Questo non include le perle stesse.
WARNING |AVVERTIMENTO 
pearlcat_over9|pearlcat_over9
L-Stick|Bastone a L
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Numero di perle di agilità (blu). Efficace solo quando l'override dell'inventario? è controllato.
Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Tempo in frame lo scudo di perle gialle dura dopo l'attivazione. Predefinito 1,5 secondi.
Your little friend is still quite sick, unfortunately.|Il tuo piccolo amico è ancora piuttosto malato, sfortunatamente.
Music|Musica
{nameof(SaveMiscProgression.AscendedWithPup)}: {pearlcatMiscProg.AscendedWithPup}\n|{nome di (savemisc progression.asced withpup)}: {Pearlcatmiscprog.asced withpup} \ n
- Artwork|- Opera d'arte
PostModsInit:\n|PostModsInit:\n
SH|SH
scarf|sciarpa
You really do remind me so much of your mother...|Mi ricordi davvero così tanto di tua madre ...
Oracle Hooks Error:\n|Errore hook Oracle:\n
You seem to be doing well for yourself nonetheless, your tenacity from whatever occurred is admirable!|Sembra che tu stia andando bene per te stesso, la tua tenacia da qualunque cosa accada è ammirevole!
40|40
pearlcat-description|Uno studioso curioso con l'insolita capacità di sfruttare le perle a proprio vantaggio.<LINE><LINE>Configura input, difficoltà, cheat e altro tramite la configurazione Remix!<LINE><LINE>Più Slugcats è facoltativo, ma fortemente consigliato.
9badc7|9BADC7
Laser Damage (OLD)|Danno laser (vecchio)
Was it really so long ago that you were only half my height...?|Era davvero tanto tempo fa che eri solo metà della mia altezza ...?
pearlcat_structure3|pearlcat_structure3
Spear Pearl Count|Conte di perle di lancia
1.0.0.0|1.0.0.0
{nameof(SaveMiscWorld.PebblesMetSickPup)}: {pearlcatMiscWorld.PebblesMetSickPup}\n|{nameof (savemiscworld.pebblesmetsickpup)}: {Pearlcatmiscworld.peBblesMetsickpup} \ n
CURRENT MAIN LOOP: {rainWorld.processManager?.currentMainLoop?.GetType()}\n|Loop principale attuale: {RainWorld.ProcessManager? .CurrentMainLoop? .GetType ()} \ n
You...|Voi...
- Spanish Translation|- Traduzione in spagnolo
PLAYTESTERS|PLAYTESTER
I... wish there was more I could do... but even... nevermind in my current state.|Vorrei... vorrei poter fare di più... ma anche... non importa nel mio stato attuale.
pearlcat_activerage|Pearlcat_Activage
_atlases|_atlanti
I am not sure if you are aware, but your child appears very unwell...|Non sono sicuro che tu lo sappia, ma tuo figlio sembra molto malato...
pup|cucciolo
ERROR REMOVING PERSISTENT TRACKERS FROM STORED OBJECTS: \n|Errore rimuovendo i tracker persistenti da oggetti memorizzati: \ n
Ah, yet another one? You are even better at finding these than I imagined...|Ah, ancora un altro? Sei ancora più bravo a trovarli di quanto immaginassi...
T1_CAREND|T1_CAREND
pearlcat_possesscircle|Pearlcat_PossessCerrle
I am glad you found your own solution... even if it is an abhorrent perversion of natural law.|Sono contento che tu abbia trovato la tua soluzione ... anche se è una perversione disgustosa della legge naturale.
Button East|Pulsante Est
Well, if my memory is serving me correctly, it is nice to see you again... strange scholar.|Bene, se la mia memoria mi serve correttamente, è bello rivederti ... strano studioso.
I may not have the facilities to aid you, however...|Potrei non avere le strutture per aiutarti, tuttavia ...
Disable Minor Effects?|Disabilitare gli effetti minori?
Ah, you have returned? You look about as sickly as I remember.|Ah, sei tornato?Ti guardi così male come ricordo.
\n  |\N
improved-input-config|migliorato-input-config
DschockHorizontalRight|DschockOrizzontaleDestra
 SAVE|SALVA
Sleeve|Manica
Efi|Efi
{Plugin.MOD_ID}:ability|{Plugin.mod_id}: abilità
I'm sorry... it's wrong to be so invasive, it's none of my business really.|Mi dispiace ... è sbagliato essere così invasivi, non sono davvero affari miei.
Inventory Override?|Sostituzione dell'inventario?
Kimi |Kimi
Player 2|Giocatore 2
- Additional Artwork|- Opere d'arte aggiuntive
---------------------------------------------------------------|-------------------------------------------------- -------------
Player 3|Giocatore 3
I already read this one. I can read it again, I suppose.|Ho già letto questo. Posso leggerlo di nuovo, suppongo.
{nameof(SaveMiscWorld.Inventory)}:\n{string.Join(|{nameof (savemiscworld.inventory)}: \ n {string.join (
Welc- Hello. Hello again.|Welc-ciao.Ciao di nuovo.
Ah, I won't lie... I am curious as to how you ended up back here, and what happened on your travels...|Ah, non mentirò ... Sono curioso di sapere come sei finito qui, e cosa è successo nei tuoi viaggi ...
arm|braccio
3.0|3.0
Is that you, little scholar? I'm speechless...|Sei tu, piccolo studioso?Sono senza parole...
Edit keybinds through the normal input menu.|Modifica keybinds tramite il normale menu di input.
GATE_SL_MS|GATE_SL_MS
tail|coda
I will tolerate your pressence, so long as you bring me something meaningful.|Tollererò la tua presenza, purché tu mi porti qualcosa di significativo.
_AboveCloudsAtmosphereColor|_AboveCloudsAtmosphereColor
Considering the state you left in, I thought it impossible I would see you again... and yet here you are.|Considerando lo stato in cui hai lasciato, ho pensato impossibile che ti vedessi di nuovo ... eppure eccoti qui.
When checked, the inventory HUD will be replaced with a more compact version.|Se selezionato, l'HUD dell'inventario verrà sostituito con una versione più compatta.
{nameof(SaveMiscWorld.ShownFullInventoryTutorial)}: {pearlcatMiscWorld.ShownFullInventoryTutorial}\n|{nameof (savemiscworld.hownfullinventorytutorial)}: {Pearlcatmiscworld.ShowfulLinventoryTUtorial} \ n
VERSION WARNING|Avviso di versione
...but, you are not like I remember them? Am I misremembering so badly?|... ma non sei come se li ricordi?Sto commessando così male?
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|Le cariche vengono consumate per fornire protezione. Ogni perla ripristina individualmente la sua carica dopo un po' di tempo
General|Generale
pearlcat_1|perlacat_1
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Moltiplicatore percentuale sulla visibilità generale di Pearlcat, influenza l'attrazione dei predatori. Per impostazione predefinita, Pearlcat è significativamente più visibile persino di Hunter.
For the number of visits you pay me, how could there only be one of you?|Per il numero di visite che mi paghi, come potrebbe esserci solo uno di voi?
And who is your little friend? They are quite adorable!|E chi è il tuo piccolo amico? Sono piuttosto adorabili!
Prefer to use the custom keybinds below for spear creation, instead of the default (GRAB)|Preferisci utilizzare le combinazioni di tasti personalizzate di seguito per la creazione della lancia, invece dell'impostazione predefinita (GRAB)
WillowWisp|WillowWisp
START PEARL THREAT |Avvia la minaccia perla
PFeet|Pfeet
Store Pearl|Conserva Pearl
.  .  .|. . .
pearlcatHipsAPearlpupSick|Pearlcathipsapearlpupsick
Visibility Multiplier|Moltiplicatore di visibilità
}\n|}\N
Swaps the active pearl to the left.|Scambia la perla attiva a sinistra.
\n|\N
Keybind for Player 4.|Combinazione di tasti per il giocatore 4.
Storage limit reached (|Limite di archiviazione raggiunto (
REMIX: {ModManager.MMF}\n|Remix: {modmanager.mmf} \ n
BigGlyph12|BigGlyph12
Input a shelter name to have it override where Pearlcat starts a new game.|Inserisci il nome di un rifugio per sostituirlo dove Pearlcat inizia una nuova partita.
pearlcat_hudcircle|pearlcat_hudcircle
{nameof(SaveMiscWorld.PearlpupID)}: {pearlcatMiscWorld.PearlpupID ?? -1}\n|{nameof (savemiscworld.pearlpupid)}: {pearlcatmiscworld.pearlpupid ??-1} \ n
mira|Mira
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Ogni perla rossa fornisce un laser aggiuntivo - e sì, questi pipistrelli sono MOLTO OSTILI!
4: |4:
pearlcat_flyingclouds|pearlcat_flyingclouds
ear_l|conte
pearlpup_cloak|Pearlpup_Cloak
Oh... oh no...|Ah... ah no...
Enable Backspear?|Abilitare il backspear?
Hologram|Ologramma
Pearlcat_Heartmend|Pearlcat_heartmend
Get... get away... strange... thing.|Vattene... vattene... strana... cosa.
29193d|29193d
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...OH? Prendili, i dati che contengono non hanno valore per me. Immagino che ti sarebbero molto più utili...
There is nothing I can do - I am not a medical facility, and even if I were, my equipment is far from pristine.|Non posso fare nulla: non sono una struttura medica e, anche se lo fossi, la mia attrezzatura è tutt'altro che incontaminata.
Prefer to use the custom keybinds below for agility double jump, instead of the default (GRAB + JUMP)|Preferisci utilizzare le combinazioni di tasti personalizzate di seguito per il doppio salto di agilità, invece dell'impostazione predefinita (GRAB + JUMP)
Hides the visuals of inactive pearls and turns you into... cat.|Nasconde le immagini delle perle inattive e ti trasforma in... gatto.
Looping SFX Error, Outsider often likes to cause this:\n|Looping SFX Error, Outsider spesso ama causare questo:\n
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Quando selezionato, Pearlpup si rigenererà nel prossimo rifugio nel ciclo successivo ogni volta che vengono persi.
...and don't look to me, it's not my fault...|... e non guardarmi, non è colpa mia ...
Custom Spear Keybind?|Combinazione di tasti lancia personalizzata?
pearlcat_agilitysentry|pearlcat_agilitysentry
No, I do not care for your little one.|No, non mi importa del tuo piccolo.
_textures|_texture
Right Bumper|Paraurti destro
pearlcat_ribbon|Pearlcat_Ribbon
Improved Input Config is active!|La configurazione di input migliorata è attiva!
AS IS|COME È
All times here are in frames.<LINE>40 frames = 1 second.|Tutti i tempi qui sono in frame.<LINE>40 frame = 1 secondo.
Chimney Canopy|Canna fumaria
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Ma... il marchio che possiedi è molto insolito.<LINE>Non qualcosa che chiunque nel gruppo locale potrebbe conferire...
Misfortune does not discriminate, sadly. I hope a better fate awaits you, in time.|La sfortuna non discrimina, purtroppo. Spero che un destino migliore ti aspetti, col tempo.
It doesn't matter I suppose, you may stay, so long as you don't disturb my work...|Non importa, suppongo che tu possa restare, fintanto che non disturbi il mio lavoro ...
pearlcat_2|perlacat_2
To store, hold the same keybind with a pearl in your main hand|Per riporlo, tieni la stessa combinazione di tasti con una perla nella mano principale
pearlcat_bottomshutter_night|Pearlcat_bottomshutter_night
Rage Pearl Count|Rage Pearl Count
Ability P1|Abilità P1
BigGlyph6|BigGlyph6
pearlcat_ragesentry|Pearlcat_ragesentry
So... anything for me to read?|Allora ... qualcosa da leggere per me?
Pearlpup Respawn?|Rigenerazione di Pearlpup?
Pearls may also be deployed as temporary sentries. Press (GRAB + JUMP + DOWN) to deploy, and again to return.|Le perle possono anche essere schierate come sentinelle temporanee. Premi (PRENDI + SALTA + GIÙ) per schierarti e di nuovo per tornare indietro.
Disable Improved Input Config?|Disabilitare la configurazione di input migliorata?
STOP PEARL THREAT|Ferma la minaccia di perle
Version|Versione
300|300
pearlcat_bottomshutter|pearlcat_bottomshutter
They are unwell, <PlayerName>, very unwell indeed.|Non stanno bene, <PlayerName>, davvero molto male.
{nameof(SaveMiscProgression.DidHavePearlpup)}: {pearlcatMiscProg.DidHavePearlpup}\n|{nameof (savemiscprogression.didhavepearlpup)}: {Pearlcatmiscprog.didhavepearlpup} \ n
Brought me something to read? Or just wasting my time, as per usual?|Mi hai portato qualcosa da leggere? O semplicemente sprecare il mio tempo, come al solito?
Outro3_1|Outro3_1
Four! Well, if you insist...|Quattro! Beh, se insisti...
Reverts to the old red pearl mechanics - auto targeting lasers.|Ritorna ai vecchi meccanici di perle rosse - Laser di targeting automatico.
) & (|) & (
START OF BEPINEX LOG|Inizio del registro bepinex
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Abilita le combinazioni di tasti personalizzate di seguito, al contrario dell'impostazione predefinita (UP + PICKUP).
pearlactive|perlato
I have tried to reconstruct it from memory many times, fruitlessly.|Ho cercato di ricostruirlo a memoria molte volte, inutilmente.
pearlcat_7|perlacat_7
PEARLCAT SAYS HELLO FROM INIT! (VERSION: |Pearlcat dice ciao da init!(VERSIONE:
hips|fianchi
Death is not the end... even death that seems permanent.|La morte non è la fine... anche la morte che sembra permanente.
Ability KB|Abilità KB
Number of camo pearls (black). Effective only when Inventory Override? is checked.|Numero di perle mimetiche (nere). Efficace solo quando l'override dell'inventario? è controllato.
My own time is limited, after all...|Il mio tempo è limitato, dopotutto...
pearlcatScarfC0|gatto di perleSciarpaC0
DM|DM
PEARLCAT WARP|ORDITO GATTO PERLATO
