You... I didn't forget...|Ты... я не забыл...
I would love to study it, to help treat my own affliction, however it would require... removal of the augment.|Я хотел бы изучить его, чтобы помочь лечить мое собственное страдание, однако это потребовало бы ... удаление дополнения.

Four! Well, if you insist...|Четыре! Ну, если вы настаиваете...

Some time ago now, I encountered a scholar and their dying pup...|Некоторое время назад я встретил ученых и их умирающего щенка ...

Ah, I won't lie... I am curious as to how you ended up back here, and what happened on your travels...|Ах, я не буду лгать ... Мне любопытно, как ты оказался сюда, и что случилось в твоих путешествиях ...

trueend|настоять

Your little friend is still quite sick, unfortunately.|К сожалению, ваш маленький друг все еще очень болен.

When checked, all tutorials will be disabled.|Если этот флажок установлен, все обучающие программы будут отключены.

Intended for fun, may change gameplay significantly!|Предназначен для развлечения, может значительно изменить игровой процесс!

Brought me something to read? Or just wasting my time, as per usual?|Принес мне что-нибудь почитать? Или просто зря трачу время, как обычно?

Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Время в кадрах после активации желтого жемчужного щита сохраняется. По умолчанию 1,5 секунды.

For now, my only lens into the outside is those pearls you carry.|На данный момент мой единственный объектив снаружи - те жемчужины, которые вы несете.

When checked, disables the spear creation effect granted by an active pearl.|Если флажок установлен, отключает эффект создания копья, предоставляемый активной жемчужиной.

I assume you may find them nearby the area you arrived; that is via the access shaft, if you have forgotten.|Я предполагаю, что вы можете найти их рядом с местом, когда вы прибыли;Это через вал доступа, если вы забыли.

You're more than welcome to stay a while... your ability will always be a little miracle to me...|Ты более чем рад остаться ... твоя способность всегда будет немного чудо для меня ...

Whichever path you take, I hope you find the help that you seek.|Какой бы путь вы ни пошли, я надеюсь, что вы найдете помощь, которую вы ищете.

WIP - no new ending yet!<LINE>If you find any bugs, please report them to forthfora!|WIP - пока нет нового окончания!

Another one? I shouldn't be surprised. Let's see...|Другой? Я не должен удивляться. Давайте посмотрим...

I... wish there was more I could do... but even... nevermind in my current state.|Я... хотел бы сделать больше... но даже... неважно в моем нынешнем состоянии.

Ah. So you've returned.|Ах. Итак, вы вернулись.

To release possession, try to deploy the pearl as a sentry, or try to retrieve the pearl|Чтобы освободить владение, попытаться развернуть жемчужину в качестве часового или попытаться забрать жемчужину

YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|ЖЕЛТЫЙ символизирует защиту. Каждая сохраненная желтая жемчужина обеспечивает заряд щита.

To cycle between pearls, use (|Чтобы переключаться между жемчужинами, используйте (

A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|Любопытный ученый с необычной способностью использовать жемчужины в своих интересах. <line> <line> Настройка входов, сложность, читы и многое другое с помощью ремикса!

I must resume my work. I will be waiting here, as always.|Я должен возобновить свою работу. Я буду ждать здесь, как всегда.

Pearlpup|Жемчуга

Swap Right|Поменять местами вправо

Edit keybinds through the normal input menu.|Редактируйте связки ключей через нормальное входное меню.

Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|Заряды потребляются для обеспечения защиты. Каждая жемчужина по отдельности восстанавливает свой заряд через некоторое время

Clearly an artifical creation. But from where? Sent by who?|Явно искусственное создание. Но откуда? Прислано кем?

Compact Inventory HUD?|Компактный HUD инвентаря?

You really do remind me so much of your mother...|Вы действительно так много напоминаете мне о своей матери ...

In any case, you are welcome to stay as long as you like. Anything to ease the pain.|В любом случае, вы можете оставаться здесь столько, сколько захотите. Что угодно, лишь бы облегчить боль.

Think of this mutually, I can 'see' a little further outside this can...|Подумайте об этом обоюдно, я могу «видеть» немного дальше за пределами этой банки...

Begin at the start of the Mira storyline...<LINE>The world will be preserved, and pearls will carry over!|Начните в начале сюжетной линии Mira ... <line> Мир будет сохранен, и жемчужина будет перенести!

When checked, some abilties will show the inventory when recharged or depleted.|Если флажок установлен, некоторые способности будут показывать инвентарь при зарядке или истощении.

Ah, I hope you both stay safe out there...|Ах, надеюсь, вы оба останетесь там в безопасности...

I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Я полагаю, единственное, что вы цените в этих жемчужинах, это чистота их решетки? Я заменю вас другим, гораздо более утонченным, чем этот.

Left Bumper|Левый бампер

): swap out a pearl, or change the limit in the Remix optionsVersion|): замените жемчужину или измените предел в Optionsversion Remix.

I am glad you found your own solution... even if it is an abhorrent perversion of natural law.|Я рад, что вы нашли свое собственное решение ... даже если это отвратительное извращение естественного права.

WARNING|ПРЕДУПРЕЖДЕНИЕ

Back again? You do visit often...|Вернуться снова? Вы часто бываете в гостях...

It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Кажется, в нем есть гимн, который когда-то много значил для жителей моего города...

Camo Pearl Count|Камуфляжный жемчуг

My own time is limited, after all...|Мое личное время ограничено, в конце концов...

I won't be going anywhere any time soon... if you need company, you know who to visit!|Я никуда не пойду в ближайшее время ... если вам нужна компания, вы знаете, кого посетить!

There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|Я ничего не могу сделать, чтобы остановить вас, поэтому вот моя просьба:<LINE>Оставьте меня в покое или покончите с этим быстро.

PEARLCAT|ЖЕМЧУГОКОТ

The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|Дальнее пространство будет для тебя безопасным местом, где ты будешь растить свою семью и держаться подальше от моих дел.

Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Каждая красная жемчужина дает дополнительный лазер — и да, эти летучие мыши ОЧЕНЬ Враждебны!

Please try not to push me too hard; with the number of neurons I have... let's just say my mind gets a little foggy.|Пожалуйста, постарайтесь не подтолкнуть меня слишком сильно;С количеством нейронов у меня есть ... давайте просто скажем, что мой разум становится немного туманным.

A scholar with the ability to manipulate pearls...? Oh... yes! I remember!|Ученый со способностью манипулировать жемчугом ...?О, да!Я помню!

I see you've returned, yet again.|Я вижу, ты снова вернулся.

You must be very brave to have made it all the way here. Very brave indeed...|Вы должны быть очень храбрыми, чтобы проделать весь этот путь сюда. Действительно, очень смело...

I think I may still have some use left after all!~|Я думаю, что от меня все еще может остаться польза!~

Balagaga|Балагага

...did they have a child? ...could you be?|... у них был ребенок?...не могли бы вы?

Oh, hello! Hello!|О, привет! Привет!

WillowWisp|УиллоуВисп

Was it really so long ago that you were only half my height...?|Было ли это действительно так давно, что ты был только половиной моего роста ...?

Keybind for Player 2.|Связка клавиш для игрока 2.

Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Количество жемчужин ловкости (синих). Действует только при переопределении инвентаря? проверено.

The Pearlcat|Жемчугокот

Inventory Pings?|Пинг инвентаря?

Oh, hello strange scholar!|О, привет странный ученый!

R-Stick|R-стик

 || fileName == |||имя файла ==

. . .|. . .

Swap Left|Поменять местами слева

Background|Фон

Sorry if I seem a little slow by the way, we are designed to operate with millions of neurons, as opposed to, well...|Извините, если я кажусь немного медленным, кстати, мы предназначены для работы с миллионами нейронов, в отличие от, ну ...

And please keep your child under control.|И, пожалуйста, держите ребенка под контролем.

Kimi |Кими

Hello! Strange scholar, it is good to see you!|Привет!Странно, ученый, приятно тебя видеть!

I very much enjoy the company though... you and your little friend are always welcome here.|Хотя мне очень нравится компания... Вам и вашему маленькому другу здесь всегда рады.

I still don't have much to offer, sadly... aside from my pearl readings, and company of course! ~|У меня все еще не так много, к сожалению, помимо моих чтений жемчужина и компании, конечно!~

Number of rage pearls (red). Effective only when Inventory Override? is checked.|Количество жемчужин ярости (красных). Действует только при переопределении инвентаря? проверено.

PEARLCAT_MIRA_SKIP|Pearlcat_mira_skip

...are you alright, little one? The modifications to your body are quite... unusual.|... ты в порядке, малыш?Модификации вашего тела довольно ... необычны.

NON-MSC|НЕ-MSC

PLAYTESTERS|Плейтестеры

...and don't look to me, it's not my fault...|... и не смотри на меня, это не моя вина ...

Ah, yet another one? You are even better at finding these than I imagined...|Ах, еще один? Ты находишь их даже лучше, чем я себе представлял...

Swap Pearl|Смена Жемчужина

And just who might you two be?|И кем вы двое могли бы быть?

(unfortunately for Pearlpup to spawn, it requires the Downpour DLC to be enabled)|(К сожалению для появления PearlPup, это требует включения DLC ливня)

OE_SEXTRA|OE_SEXTRA

Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Урон каждого лазера красной жемчужины наносит за выстрел. Урон копья выжившего = 1,0

And why... to me?|И почему... мне?

You... I still remember what you did.|Ты ... я до сих пор помню, что ты сделал.

Store Input|Сохранить ввод

I would guess they will grow up into quite the scholar themself, someday...|Думаю, когда-нибудь они и сами вырастут настоящими учеными...

For the number of visits you pay me, how could there only be one of you?|Для количества посещений, которые вы мне посещаете, как может быть только один из вас?

I am not sure if you are aware, but your child appears very unwell...|Я не уверен, знаете ли вы, но ваш ребенок выглядит очень нездоровым...

Disable Revive Effect?|Отключить эффект возрождения?

You are just a lot to take in for little old me! A fascinating power, the gift of communication;|Вы просто нужно взять на маленькую старую меня!Захватывающая сила, дар общения;

Given you have inherited your mother's traits, if you want to make these visits worth my time, bring me something to read...|Учитывая, что вы унаследовали черты своей матери, если вы хотите, чтобы эти визиты стоили моего времени, принесите мне что -нибудь, чтобы прочитать ...

...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...Ты съел... меня. Пожалуйста уйди. Я не буду говорить... с тобой.<LINE>Я... НЕ МОГУ говорить с тобой... потому что... ты съел... меня... ...и почему?

Oh, hello <PlayerName>!|О, привет, <PlayerName>!

Disable Camoflague Effect?|Отключить эффект маскировки?

by|к

Another? And I shall read this one to you as well...|Другой? И это я вам тоже прочту...

Sentry P1|Часовой P1

Press (JUMP + GRAB) while in the air to perform a double jump|Нажмите (JUMP + GRAB), находясь в воздухе, чтобы выполнить двойной прыжок.

No, I am not so selfish as to sacrifice you on a whim for this - a cure is not even guaranteed.|Нет, я не настолько эгоистичен, чтобы пожертвовать вам по прихоти за это - лекарство даже не гарантируется.

This illness, it is unlike any I have seen before - I can say it is likely fatal.|Эта болезнь, она не похожа ни на одну из тех, что я видел раньше, - я могу сказать, что она, скорее всего, смертельна.

Number of revive pearls (green). Effective only when Inventory Override? is checked.|Количество оживляющих жемчужин (зеленых). Действует только при переопределении инвентаря? проверено.

Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Из-за их ненасытного любопытства Жемчужная кошка снова отправляется<LINE>в погоню за расширением своей коллекции.

Geahgeah |Геагеа

...familiar ...help... please...|... знакомо ... Помогите ... пожалуйста ...

To store, hold the same keybind with a pearl in your main hand|Для хранения держите ту же связку ключей с жемчужиной в основной руке

Button South|Кнопка Юг

However, given a lack of other options, this is the best I can do.|Однако, учитывая отсутствие других вариантов, это лучшее, что я могу сделать.

When checked, sets the inventory to the specified numbers of coloured pearls below every cycle. Does not save over the current inventory - it is returned to when unchecked.|При проверке устанавливает инвентаризацию на указанные номера цветных жемчужина ниже каждого цикла.Не сохраняет текущий инвентарь - он возвращается, когда не контролируется.

A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Ученый неизвестного происхождения, вооруженный загадочной энергией и жаждой знаний.<LINE>Хрупкий физически, но с жемчугом в союзниках — что вы откроете для себя в своих путешествиях?

Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybind для переключения на сохраненную жемчужину слева. Ограничено игроком 1.

Elliot|Эллиот

