START|COMEÇAR
, pearlcatMiscWorld.Inventory.Select(x => $|, PearlcatmiscWorld.inventory.Select (x => $
Oh, hello! Hello!|Olá! Olá!
I would guess they will grow up into quite the scholar themself, someday...|Eu acho que eles vão crescer e se tornar um estudioso, algum dia...
A scholar with the ability to manipulate pearls...? Oh... yes! I remember!|Um estudioso com a capacidade de manipular pérolas ...?Oh sim!Eu lembro!
legs|pernas
Something new to read... it has been too long...|Algo novo para ler... já faz muito tempo...
Hello again, <PlayerName>!|Olá novamente, <PlayerName>!
pearlcat_nightsky|Pearlcat_nightsky
. . .|. . .
Sorry if I seem a little slow by the way, we are designed to operate with millions of neurons, as opposed to, well...|Desculpe se eu parecer um pouco lento, a propósito, somos projetados para operar com milhões de neurônios, em oposição a, bem ...
I'm just so glad you're safe, too many things have come into my memory, only to be washed away...|Estou tão feliz por você estar seguro, muitas coisas chegaram à minha memória, apenas para serem lavadas ...
a486c2|A486C2
HologramBehindTerrain|Holograma Atrás do Terreno
2: |2:
{nameof(SaveMiscWorld.ActiveObjectIndex)}:\n{string.Join(|{Nameof (SavemiscWorld.ActiveObjectIndex)}: \ n {string.join (
Back again? I hope you have brought me something this time.|De volta? Espero que você tenha me trazido algo desta vez.
PEARLCAT MISC PROGRESSION:\n|PRESSAÇÃO DA PARLCAT DISC: \ n
Sound Hooks Error:\n|Erro de ganchos de som:\n
#|#
face_sick|face_sick
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Parece conter um hino que já significou muito para os habitantes da minha cidade...
SS_T1_CROSS|Ss_t1_cross
Oh! It is good to see you two again!|Oh! É bom ver vocês dois de novo!
CloudDistant|Nuvem Distante
{nameof(SaveMiscProgression.StoredPearlColors)}:\n{string.Join(|{nameof (savemiscProgression.StoredPearlColors)}: \ n {string.join (
{nameof(SaveMiscWorld.ShownSpearCreationTutorial)}: {pearlcatMiscWorld.ShownSpearCreationTutorial}\n|{nameof (savemiscworld.shownspearcreationTutorial)}: {Pearlcatmiscworld.shownspearcreationTutorial} \ n
pearlcatFeetA0|pearlcatFeetA0
Disable Cosmetics?|Desativar cosméticos?
Begin at the start of the Mira storyline...<LINE>The world will be preserved, and pearls will carry over!|Comece no início da história da Mira ... <line> O mundo será preservado e as pérolas continuarão!
pearl|pérola
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|Você me deu um baita susto! Não recebo visitas com frequência ultimamente;<LINE>muito menos visitantes como você, com quem posso conversar...
pearlpup_adulttail|Pearlpup_adulttail
Yes, help yourself. They are not edible.|Sim, sirva-se. Eles não são comestíveis.
)|)
The choice is yours.|A escolha é sua.
Swap Pearl|Troque Pearl
Hello again, strange scholar!|Olá de novo, Strange Scholar!
Keybind for Player 1.|Tecla de atalho para o jogador 1.
Sidera |Sidera
MISC WORLD NOT FOUND! (not in story session?)\n|Misc World não encontrado!(não na sessão da história?) \ n
SI|SI
I won't be going anywhere any time soon... if you need company, you know who to visit!|Eu não irei a lugar nenhum tão cedo ... se você precisar de companhia, você sabe quem visitar!
pearlcat_hudheart|Pearlcat_hudheart
GravityDisruptor|Disruptor de gravidade
pup_sick|pup_sick
pearlcat_hudshadow|pearlcat_hudshadow
pearlcat_3|pearlcat_3
Trigger Player|Acionar jogador
 - |-
pupheart|Pupheart
DID NOT PREVENT RELEASE|Não impediu a liberação
...and what happened to your parent...|... e o que aconteceu com seus pais ...
JetFishEyeA|JetFishEyeA
loadedsoundeffects/ambient|efeitos sonoros carregados/ambiente
pearlcat_light1|pearlcat_light1
pearlactiveplaceholder|marcador de posição pearlactive
HI|OI
Max Pearl Count|Contagem Máxima de Pérolas
You would be a hard one to forget after all, strange scholar!|Afinal, você seria difícil de esquecer, Strange Scholar!
Multiple red pearls may chain this effect together - and yes, these batflies are VERY HOSTILE!|Múltiplas pérolas vermelhas podem encadear esse efeito - e sim, esses batflies são muito hostis!
T1_CAR3|T1_CAR3
Keybind for Player 2.|Tecla de atalho para o jogador 2.
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Não tenho nada para você, infelizmente... mas espero que encontre as respostas que procura.
Camo Pearl Count|contagem de pérolas camufladas
Laser Windup TIme (OLD)|Tempo de corda a laser (antigo)
The Gutter|A sarjeta
Good luck, mysterious scholar.|Boa sorte, estudioso misterioso.
) or (|) ou (
Oh, hello strange scholar!|Oh, olá, estranho estudioso!
I see you've returned, yet again.|Vejo que você voltou, mais uma vez.
Welcome back, <PlayerName>, and your little one too.|Bem-vindo de volta, <PlayerName>, e seu filho também.
, pearlcatMiscWorld.ActiveObjectIndex)}\n|, Pearlcatmiscworld.activeObjectIndex)} \ n
pearlcat_4|pearlcat_4
Body|Corpo
HANDLED: Shield Sentry Sound Exception:\n|MANIPULADO: Exceção de Som de Sentinela de Escudo:\n
pearlcatScar|PearlcatScar
I have sent a request for the stationary cargo transports in my city to resume operation.|Enviei um pedido para os transportes estacionários de carga em minha cidade para retomar a operação.
Custom Agility Keybind?|Tecla de atalho de agilidade personalizada?
 Pearlpup will be revived.|Pearlpup será revivido.
My neighbour, Five Pebbles, is a little temperamental, but means well.|Meu vizinho, Five Pebbles, é um pouco temperamental, mas tem boas intenções.
To release possession, try to deploy the pearl as a sentry, or try to retrieve the pearl|Para liberar posse, tente implantar a pérola como uma sentinela ou tente recuperar a pérola
{nameof(SaveState.cycleNumber)}: {saveState.cycleNumber}\n|{nameof (savestate.cycleNumber)}: {Savestate.cycleNumber} \ n
HoloGrid|HoloGrid
pearlcat_cloak|pearlcat_cloak
<oA>|<oA>
I cannot guarantee anything - these locomotives have not been operational since my facility was placed into lockdown...|Não posso garantir nada - essas locomotivas não estão operacionais, pois minhas instalações foram colocadas em bloqueio ...
Hello, again. You are very curious. Very curious indeed.|Olá de novo. Você é muito curioso. Muito curioso mesmo.
pearlpup_tail|pearlpup_tail
FIND MIRA...|Encontre mira ...
RegionGate_Heater|Regiongate_heater
TurtleMan27|TurtleMan27
Clearly an artifical creation. But from where? Sent by who?|Claramente uma criação artificial. Mas de onde? Enviado por quem?
And please keep your child under control.|E, por favor, mantenha seu filho sob controle.
Pearl Spear Count: {pearlcatMiscWorld.PearlSpears.Keys.Count}\n|Contagem de lança de pérola: {Pearlcatmiscworld.pearlspears.keys.count} \ n
8f1800|8F1800
Pebbles_SS_Pearlcat|Pebbles_SS_Pearlcat
Grab a creature and hold (GRAB) with an active green pearl to revive them|Pegue uma criatura e segure (GRAB) com uma pérola verde ativa para revivê-la
Linnnnnna |Linnnnnna
Sentry KB|Sentry KB
pcat_withpup|pcat_withpup
SleevePearlpup|SleevePearlpup
...and you can gather more of that data you so clearly desire.|...e você pode coletar mais desses dados que você tão claramente deseja.
Player 4|Jogador 4
.NET Framework 4.8|.NET Framework 4.8
For now, my only lens into the outside is those pearls you carry.|Por enquanto, minha única lente para fora são as pérolas que você carrega.
), or the triggers on controller|), ou os gatilhos no controlador
Hello again, strange scholar...|Olá de novo, estranho estudioso ...
... |...
850000|850000
Nevermind... this anger is useless...|Deixa pra lá... essa raiva é inútil...
pup_drawings|pup_drawings
) while in the air to perform a double jump|) enquanto estiver no ar para realizar um salto duplo
RED symbolizes power. With a red pearl active, all stored red pearls will circle you|O vermelho simboliza o poder.Com uma pérola vermelha ativa, todas as pérolas vermelhas armazenadas irão circular você
SB|SB
{nameof(SaveMiscProgression.IsPearlpupSick)}: {pearlcatMiscProg.IsPearlpupSick}\n|{nameof (savemiscProgression.isisearlpupsick)}: {PearlcatmiscProg.ispearlpupsick} \ n
thing|coisa
...are you alright, little one? The modifications to your body are quite... unusual.|... você está bem, pequeno?As modificações para o seu corpo são bastante ... incomuns.
pearlcatScarfA0|pearlcatScarfA0
Surely it must be another little beast with a pearl for a heart?|Certamente deve ser outra besta com uma pérola para um coração?
Elliot|Elliot
I can only hope you have not come... to hurt me more.|Só espero que não tenha vindo... para me machucar mais.
.txt|.TXT
Press (|Imprensa (
Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Tempo em quadros para o laser de uma pérola vermelha disparar após a aquisição de um alvo. Padrão 1,5 segundos.
{nameof(SaveMiscWorld.MoonSickPupMeetCount)}: {pearlcatMiscWorld.MoonSickPupMeetCount}\n|{nameof (savemiscworld.moonsickpupMeetCount)}: {Pearlcatmiscworld.moonsickpupMeetCount} \ n
So please, bring me more, as long as it isn't too dangerous for you... these visits really are the highlight of my days here...|Então, por favor, me traga mais, desde que não seja muito perigoso para você ... essas visitas são realmente o destaque dos meus dias aqui ...
...there.|...lá.
Oh, hello there!|Oh, olá lá!
JOLLY: {ModManager.JollyCoop}\n|Jolly: {ModManager.jollycoop} \ n
Sentry P2|Sentry P2
I'm kidding, of course! My imagination will suffice, though the curiosity does burn me up inside...|Estou brincando, é claro!Minha imaginação será suficiente, embora a curiosidade me queime por dentro ...
Back again? You do visit often...|De volta? Você visita com frequência...
T1_START|T1_START
{nameof(SaveState.malnourished)}: {saveState.malnourished}\n|{Nameof (SaveState.MalNoured)}: {Savestate.malnured} \ n n
Pearl Threat Music?|Música de ameaça de pérola?
pearlcat_glyphcooldown|pearlcat_glyphcooldown
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Número máximo de pérolas que podem ser armazenadas de uma só vez, incluindo a pérola ativa. O padrão é 9. Segure e arraste para cima ou para baixo para alterar.
I do so wish you could tell me what happened on your travels... I hardly remember the last time I saw beyond this chamber...|Eu gostaria que você pudesse me dizer o que aconteceu em suas viagens ... mal me lembro da última vez que vi além desta câmara ...
haloGlyph5|haloGlyph5
VS|VS
------------------------------|--------------------------------
Outro2_1|Outro2_1
Swap Input|Trocar entrada
pearlcat_revivesentry|pearlcat_revivesentry
BigGlyph8|BigGlyph8
PEARLCAT_MIRA_SKIP|Pearlcat_mira_skip
Difficulty|Dificuldade
Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Tempo em quadros para o laser de uma pérola vermelha recarregar após o disparo. Padrão 1,5 segundos.
Hello! I remember you! I remember...|Olá! Eu lembro de você! Eu lembro...
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Quando marcadas, as pérolas não concedem mais alterações de estatísticas, ativas ou não, e as estatísticas básicas são definidas para serem semelhantes a Hunter.
Is my memory so bad to forget how your little one looks? They seem paler...|Minha memória é tão ruim para esquecer a aparência do seu filho? Parecem mais pálidos...
Sick|Doente
pearlcat_6|pearlcat_6
TIME: {DateTime.UtcNow}\n|Tempo: {DateTime.utcnow} \ n
AltOutro10_1|Altoutro10_1
I believe that child was you.|Eu acredito que a criança era você.
Atlas not found! ({uniqueName})|Atlas não encontrado! ({Nome único})
Given your unique abilities, if you are curious as to the contents of those pearls -|Dadas as suas habilidades únicas, se você está curioso sobre o conteúdo dessas pérolas -
You and your family are always welcome here - please visit often!|Você e sua família são sempre bem -vindos aqui - visite com frequência!
Futile_White|Fútil_Branco
Pearl spears will attempt to return to you being thrown, if they are not stuck|Pearl Spears tentará voltar para você ser jogado, se não estiverem presos
The company of you and your friend makes my day, strange scholar.|A empresa de você e seu amigo faz meu dia, Strange Scholar.
pearlcat_8|pearlcat_8
Face|Face
Custom Sentry Keybind?|Teclado Sentry Personalizado?
I must resume my work. I will be waiting here, as always.|Devo retomar meu trabalho. Estarei esperando aqui, como sempre.
JaggedSquare|Quadrado Denteado
HoldButtonCircle|HoldButtonCircle
Laser Recharge Time (OLD)|Tempo de recarga a laser (antigo)
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Um estudioso de origem obscura, armado com uma energia enigmática e uma sede de conhecimento.<LINE>Fisicamente frágil, mas com as pérolas como aliadas - o que você descobrirá em suas viagens?
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
When checked, disables the camoflague effect granted by an active pearl.|Quando marcado, desativa o efeito de camuflagem concedido por uma pérola ativa.
fcb103|fcb103
Hold (|Segurar (
Your attachment to that thing is unavoidable, I suppose.|Seu apego a essa coisa é inevitável, suponho.
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|AZUL simboliza agilidade. Cada pérola azul armazenada fornecerá um salto duplo adicional
I hope you are staying safe out there...|Espero que você esteja seguro por aí...
I have so little... please don't take... this... this is all I have...|Eu tenho tão pouco ... por favor, não leve ... isso ... isso é tudo que tenho ...
I know that quite well.|Eu sei disso muito bem.
PEARLCAT OE ENDING|FINAL DE PEARLCAT OE
Balagaga|balagaga
If only I had my memories, I might have a clue...|Se eu tivesse minhas memórias, eu poderia ter uma pista...
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Ainda fico mais do que feliz em ler as pérolas que você me traz;<LINE>especialmente devido às suas habilidades únicas.
scholar|estudioso
MERGEFIX VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Versão Mergefix: {ModManager.ActiveMods.FirstordEfault (x => x.id ==
And why... to me?|E por que... para mim?
Store Input|Armazenar entrada
pixel|pixel
pearlcat_spire3|pearlcat_spire3
pearlcat_support_night|Pearlcat_support_night
Intended to make gameplay more challenging, may change gameplay significantly!|Destina-se a tornar a jogabilidade mais desafiadora, pode alterar significativamente a jogabilidade!
Hello. Again.|Olá.De novo.
LF|LF
{nameof(SaveMiscProgression.Ascended)}: {pearlcatMiscProg.Ascended}\n|{nameof (saveMiscProgression.ascended)}: {PearlcatmiscProg.ascended} \ n
{nameof(SaveMiscProgression.IsNewPearlcatSave)}: {pearlcatMiscProg.IsNewPearlcatSave}\n|{nameof (savemiscProgression.isnewpearlcatsave)}: {PearlcatmiscProg.isnewpearlcatsave} \ n
When checked, some abilties will show the inventory when recharged or depleted.|Quando marcadas, algumas habilidades mostrarão o inventário quando carregadas ou esgotadas.
head|cabeça
PEARLCAT WARP END|PEARLCAT WARP END
5|5
Welcome back, I suppose.|Bem-vindo de volta, suponho.
Sentry P1|Sentry P1
MSC|MSC
Disable Revive Effect?|Desativar o efeito Revive?
OE|OE
Swap Right|Trocar Direito
Button South|Botão Sul
GateHologram|GateHologram
Please, stay as long as you'd like, I can't begin to imagine what you've been through.|Por favor, fique o tempo que quiser, não posso começar a imaginar o que você passou.
Debug|Depurar
soundeffects/ambient|efeitos sonoros/ambiente
FORCE CREATURE RELEASE UNDER ROOM|Liberação da criatura forçar em sala
pcat_sad|pcat_sad
OnModsInit:\n|OnModsInit:\n
When checked, disables the revive effect granted by an active pearl.|Quando marcado, desativa o efeito de reviver concedido por uma pérola ativa.
REDIRECT:|Redirecionar:
Player 1|Jogador 1
{nameof(SaveState.denPosition)}: {saveState.denPosition}\n|{nome de (salvar state.deposition)}: {SaveState.Deposition} \ n
...but... I will think on your problem, for now. Perhaps I can find a solution for both of us.|...mas... Vou pensar no seu problema, por enquanto. Talvez eu possa encontrar uma solução para nós dois.
Disable Rage Effect?|Desativar o efeito de raiva?
Lolight2|Lolight2
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Quando marcado, os cosméticos de Pearlcat serão desativados, destinados a permitir sprites personalizados via DMS. Isso não inclui as próprias pérolas.
WARNING|AVISO
pearlcat_over9|pearlcat_over9
L-Stick|L-stick
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Número de pérolas de agilidade (azul). Efetivo somente quando Substituição de estoque? está checado.
Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Tempo em quadros que o escudo perolado amarelo dura após a ativação. Padrão 1,5 segundos.
Your little friend is still quite sick, unfortunately.|Seu amiguinho ainda está bastante doente, infelizmente.
Music|Música
{nameof(SaveMiscProgression.AscendedWithPup)}: {pearlcatMiscProg.AscendedWithPup}\n|{Nome de (Savemisc Progression.ascended withpup)}: {PearlcatmiscProg.ascended withpup} \ n
- Artwork|- Obra de arte
PostModsInit:\n|PostModsInit:\n
SH|SH
scarf|lenço
You really do remind me so much of your mother...|Você realmente me lembra muito de sua mãe ...
Oracle Hooks Error:\n|Erro do Oracle Hooks:\n
You seem to be doing well for yourself nonetheless, your tenacity from whatever occurred is admirable!|Você parece estar indo bem por si mesmo, sua tenacidade de qualquer coisa que ocorreu é admirável!
40|40
pearlcat-description|Um estudioso curioso com a habilidade incomum de aproveitar as pérolas a seu favor.<LINE><LINE>Configurar entradas, dificuldade, truques e muito mais através da configuração do Remix!<LINE><LINE>Mais Slugcats é opcional, mas fortemente recomendado.
9badc7|9BADC7
Laser Damage (OLD)|Dano a laser (antigo)
Was it really so long ago that you were only half my height...?|Foi realmente há muito tempo que você tinha apenas metade da minha altura ...?
pearlcat_structure3|pearlcat_structure3
Spear Pearl Count|Contagem de pérolas de lança
1.0.0.0|1.0.0.0
{nameof(SaveMiscWorld.PebblesMetSickPup)}: {pearlcatMiscWorld.PebblesMetSickPup}\n|{nameof (savemiscworld.pebblesmetsickpup)}: {Pearlcatmiscworld.pebblesmetsickpup} \ n
CURRENT MAIN LOOP: {rainWorld.processManager?.currentMainLoop?.GetType()}\n|Loop principal atual: {Rainworld.processmanager? .CurrentMainloop? .Gettype ()} \ n
You...|Você...
- Spanish Translation|- Tradução para o espanhol
PLAYTESTERS|JOGADORES DE TESTE
I... wish there was more I could do... but even... nevermind in my current state.|Eu... gostaria que houvesse mais que eu pudesse fazer... mas mesmo... deixa pra lá no meu estado atual.
pearlcat_activerage|Pearlcat_Activerage
_atlases|_atlas
I am not sure if you are aware, but your child appears very unwell...|Não tenho certeza se você está ciente, mas seu filho parece muito doente...
pup|cachorrinho
ERROR REMOVING PERSISTENT TRACKERS FROM STORED OBJECTS: \n|Erro removendo rastreadores persistentes de objetos armazenados: \ n
Ah, yet another one? You are even better at finding these than I imagined...|Ah, mais um? Você é ainda melhor em encontrá-los do que eu imaginava...
T1_CAREND|T1_CAREND
pearlcat_possesscircle|Pearlcat_possesscircle
I am glad you found your own solution... even if it is an abhorrent perversion of natural law.|Fico feliz que você tenha encontrado sua própria solução ... mesmo que seja uma perversão abominável da lei natural.
Button East|Botão leste
Well, if my memory is serving me correctly, it is nice to see you again... strange scholar.|Bem, se minha memória está me servindo corretamente, é bom vê -lo de novo ... Estudante estranho.
I may not have the facilities to aid you, however...|Posso não ter as instalações para ajudá -lo, no entanto ...
Disable Minor Effects?|Desativar efeitos menores?
Ah, you have returned? You look about as sickly as I remember.|Ah, você voltou?Você parece tão doentio quanto eu me lembro.
\n  |\ n
improved-input-config|Config aprimorado
DschockHorizontalRight|DschockHorizontalDireita
 SAVE|SALVAR
Sleeve|Manga
Efi|Efi
{Plugin.MOD_ID}:ability|{Plugin.mod_id}: habilidade
I'm sorry... it's wrong to be so invasive, it's none of my business really.|Sinto muito ... é errado ser tão invasivo que não é realmente da minha conta.
Inventory Override?|Sobreposição de estoque?
Kimi |Kimi
Player 2|jogador 2
- Additional Artwork|- Obra de arte adicional
---------------------------------------------------------------|-------------------------------------------------- -------------
Player 3|jogador 3
I already read this one. I can read it again, I suppose.|Eu já li este. Posso lê-lo novamente, suponho.
{nameof(SaveMiscWorld.Inventory)}:\n{string.Join(|{Nameof (Savemiscworld.inventory)}: \ n {string.join (
Welc- Hello. Hello again.|Welc- Olá.Olá de novo.
Ah, I won't lie... I am curious as to how you ended up back here, and what happened on your travels...|Ah, eu não vou mentir ... Estou curioso sobre como você acabou de volta aqui e o que aconteceu em suas viagens ...
arm|braço
3.0|3.0
Is that you, little scholar? I'm speechless...|É você, pequeno estudioso?Estou sem palavras ...
Edit keybinds through the normal input menu.|Edite Keybinds através do menu de entrada normal.
GATE_SL_MS|GATE_SL_MS
tail|cauda
I will tolerate your pressence, so long as you bring me something meaningful.|Vou tolerar sua presença, desde que você me traga algo significativo.
_AboveCloudsAtmosphereColor|_AboveCloudsAtmosphereColor
Considering the state you left in, I thought it impossible I would see you again... and yet here you are.|Considerando o estado que você deixou, achei impossível ver você de novo ... e ainda aqui está você.
When checked, the inventory HUD will be replaced with a more compact version.|Quando marcado, o HUD do inventário será substituído por uma versão mais compacta.
{nameof(SaveMiscWorld.ShownFullInventoryTutorial)}: {pearlcatMiscWorld.ShownFullInventoryTutorial}\n|{nameof (savemiscworld.shownfullinventorytutorial)}: {Pearlcatmiscworld.shownfullinventorytutorial} \ n
VERSION WARNING|Aviso de versão
...but, you are not like I remember them? Am I misremembering so badly?|... Mas, você não é como eu me lembra deles?Estou me lembro tão mal?
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|As cargas são consumidas para fornecer proteção. Cada pérola reabastece individualmente sua carga após algum tempo
General|Em geral
pearlcat_1|pearlcat_1
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|O multiplicador de porcentagem na visibilidade geral do Pearlcat influencia a atração do predador. Por padrão, Pearlcat é significativamente mais visível do que Hunter.
For the number of visits you pay me, how could there only be one of you?|Para o número de visitas que você me paga, como só poderia haver um de vocês?
And who is your little friend? They are quite adorable!|E quem é seu amiguinho? Eles são bem adoráveis!
Prefer to use the custom keybinds below for spear creation, instead of the default (GRAB)|Prefira usar os atalhos de teclado personalizados abaixo para criação de lança, em vez do padrão (GRAB)
WillowWisp|WillowWisp
START PEARL THREAT |Inicie a ameaça de pérola
PFeet|Pfeet
Store Pearl|Armazene Pearl
.  .  .|. . .
pearlcatHipsAPearlpupSick|Pearlcathipsapearlpupsick
Visibility Multiplier|Multiplicador de Visibilidade
}\n|} \ n
Swaps the active pearl to the left.|Troque a pérola ativa para a esquerda.
\n|\n
Keybind for Player 4.|Tecla de atalho para o jogador 4.
Storage limit reached (|Limite de armazenamento atingido (
REMIX: {ModManager.MMF}\n|Remix: {modmanager.mmf} \ n
BigGlyph12|BigGlyph12
Input a shelter name to have it override where Pearlcat starts a new game.|Insira um nome de abrigo para substituí-lo onde Pearlcat inicia um novo jogo.
pearlcat_hudcircle|pearlcat_hudcircle
{nameof(SaveMiscWorld.PearlpupID)}: {pearlcatMiscWorld.PearlpupID ?? -1}\n|{Nameof (Savemiscworld.pearlpupid)}: {Pearlcatmiscworld.pearlpupid ??-1} \ n
mira|Mira
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Cada pérola vermelha fornece um laser adicional - e sim, essas moscas são MUITO hostis!
4: |4:
pearlcat_flyingclouds|pearlcat_flyingclouds
ear_l|conde
pearlpup_cloak|Pearlpup_cloak
Oh... oh no...|Ah... ah não...
Enable Backspear?|Habilitar Backspear?
Hologram|holograma
Pearlcat_Heartmend|Pearlcat_heartmend
Get... get away... strange... thing.|Afaste-se... afaste-se... coisa estranha.
29193d|29193d
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...oh? Pegue-os, os dados que eles contêm são inúteis para mim. Suponho que seriam muito mais úteis para você...
There is nothing I can do - I am not a medical facility, and even if I were, my equipment is far from pristine.|Não há nada que eu possa fazer - não sou um centro médico e, mesmo que fosse, meu equipamento está longe de ser impecável.
Prefer to use the custom keybinds below for agility double jump, instead of the default (GRAB + JUMP)|Prefira usar as combinações de teclas personalizadas abaixo para salto duplo de agilidade, em vez do padrão (GRAB + JUMP)
Hides the visuals of inactive pearls and turns you into... cat.|Esconde o visual das pérolas inativas e te transforma em... gato.
Looping SFX Error, Outsider often likes to cause this:\n|Looping SFX Error, Outsider geralmente gosta de causar isso:\n
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Quando marcada, Pearlpup reaparecerá no próximo abrigo no ciclo seguinte sempre que forem perdidos.
...and don't look to me, it's not my fault...|... e não me olhe, não é minha culpa ...
Custom Spear Keybind?|Teclado Spear personalizado?
pearlcat_agilitysentry|pearlcat_agilitysentry
No, I do not care for your little one.|Não, eu não me importo com o seu pequeno.
_textures|_texturas
Right Bumper|Pára-choques direito
pearlcat_ribbon|Pearlcat_ribbon
Improved Input Config is active!|A configuração de entrada aprimorada está ativa!
AS IS|COMO É
All times here are in frames.<LINE>40 frames = 1 second.|Todos os tempos aqui estão em quadros.<LINE>40 quadros = 1 segundo.
Chimney Canopy|Cobertura de chaminé
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Mas... a marca que você possui, é muito incomum.<LINE>Não é algo que alguém do grupo local possa conceder...
Misfortune does not discriminate, sadly. I hope a better fate awaits you, in time.|O infortúnio não discrimina, infelizmente. Espero que um destino melhor o aguarde, com o tempo.
It doesn't matter I suppose, you may stay, so long as you don't disturb my work...|Não importa, suponho, você pode ficar, desde que não perturbe meu trabalho ...
pearlcat_2|pearlcat_2
To store, hold the same keybind with a pearl in your main hand|Para guardar, segure o mesmo chaveiro com uma pérola na mão principal
pearlcat_bottomshutter_night|Pearlcat_bottomshutter_night
Rage Pearl Count|Contagem de pérolas de raiva
Ability P1|Habilidade p1
BigGlyph6|BigGlyph6
pearlcat_ragesentry|Pearlcat_ragesentry
So... anything for me to read?|Então ... qualquer coisa para eu ler?
Pearlpup Respawn?|Ressurgimento do Pearlpup?
Pearls may also be deployed as temporary sentries. Press (GRAB + JUMP + DOWN) to deploy, and again to return.|Pérolas também podem ser implantadas como sentinelas temporárias. Pressione (GRAB + JUMP + DOWN) para implantar e novamente para retornar.
Disable Improved Input Config?|Desativar a configuração de entrada aprimorada?
STOP PEARL THREAT|Pare a ameaça de pérola
Version|Versão
300|300
pearlcat_bottomshutter|pearlcat_bottomshutter
They are unwell, <PlayerName>, very unwell indeed.|Eles não estão bem, <PlayerName>, muito mal mesmo.
{nameof(SaveMiscProgression.DidHavePearlpup)}: {pearlcatMiscProg.DidHavePearlpup}\n|{nameof (savemiscProgression.didHavePearlpup)}: {PearlcatmiscProg.didHavePearlpup} \ n
Brought me something to read? Or just wasting my time, as per usual?|Trouxe-me algo para ler? Ou apenas perdendo meu tempo, como de costume?
Outro3_1|Outro3_1
Four! Well, if you insist...|Quatro! Bem, se você insiste...
Reverts to the old red pearl mechanics - auto targeting lasers.|Reverte para a antiga mecânica de pérolas vermelhas - lasers de direcionamento automático.
) & (|) & (
START OF BEPINEX LOG|Início do BEPINEX LOG
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Ativa combinações de teclas personalizadas abaixo, em oposição ao padrão (UP + PICKUP).
pearlactive|perolado
I have tried to reconstruct it from memory many times, fruitlessly.|Eu tentei reconstruí-lo de memória muitas vezes, inutilmente.
pearlcat_7|pearlcat_7
PEARLCAT SAYS HELLO FROM INIT! (VERSION: |Pearlcat diz olá do init!(VERSÃO:
hips|quadris
Death is not the end... even death that seems permanent.|A morte não é o fim... mesmo a morte que parece permanente.
Ability KB|Habilidade kb
Number of camo pearls (black). Effective only when Inventory Override? is checked.|Quantidade de pérolas camufladas (pretas). Efetivo somente quando Substituição de estoque? está checado.
My own time is limited, after all...|Afinal, meu próprio tempo é limitado...
pearlcatScarfC0|pearlcatScarfC0
DM|DM
PEARLCAT WARP|PEARLCAT WARP
Please try not to push me too hard; with the number of neurons I have... let's just say my mind gets a little foggy.|Por favor, tente não me empurrar com muita força;Com o número de neurônios que tenho ... digamos que minha mente fique um pouco nebulosa.
You... I didn't forget...|Você... eu não esqueci...
T1_END|T1_END
{nameof(SaveMiscWorld.JustBeatAltEnd)}: {pearlcatMiscWorld.JustBeatAltEnd}\n|{nameof (savemiscworld.justbeataltend)}: {PearlcatmiscWorld.JustBeataltend} \ n
You would be a hard one to forget after all, <PlayerName>!|Afinal, você seria difícil de esquecer, <PlayerName>!
I assume you may find them nearby the area you arrived; that is via the access shaft, if you have forgotten.|Suponho que você possa encontrá -los nas proximidades da área que chegou;Isso é através do eixo de acesso, se você esqueceu.
pearlcat_spire1|pearlcat_spire1
pearlcat_hudsentry|pearlcat_hudsentry
Cloud|Nuvem
I do not have much else to occupy my time with these days...|Não tenho muito mais com o que ocupar meu tempo hoje em dia...
SPECEVENT|EVENTO ESPECIAL
