CANNOT PLAY\n|재생할 수 없습니다.\n
oa_min_fric_mult|oa_min_fric_mult
oa_max_speed|oa_max_speed
pearl|진주
T1_CAR2|T1_CAR2
pearlcatScarfC0|진주고양이스카프C0
ear_r|ear_r
Custom Keybind?|커스텀 키바인드?
If you do not plan to provide me with any meaningful data, that is your best course of action;|나에게 의미 있는 데이터를 제공할 계획이 없다면 그것이 최선의 조치입니다.
Custom Agility Keybind?|커스텀 민첩성 키바인드?
mayhemmm|신체 상해
HI|안녕
Transit System|환승 시스템
Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|노란색 진주 보호막이 활성화된 후 프레임 시간이 지속됩니다. 기본값은 1.5초입니다.
store_object_delay|store_object_delay
BigGlyph12|빅글리프12
) or (|) 또는 (
pearlcatFeetA0|진주고양이FeetA0
Keybind for Player 3.|플레이어 3용 단축키.
DrainageSystemPlus|배수시스템플러스
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|RED는 힘을 상징합니다. 붉은 진주가 활성화되면 가장 가까운 적대적인 생물이 표적이 됩니다.
Ah, yet another one? You are even better at finding these than I imagined...|아, 또 하나? 생각보다 잘 찾으시네요...
) & (|) & (
Swap Right|오른쪽으로 바꾸기
SPECEVENT|사양
pearlcat_spire5|pearlcat_spire5
...there.|...거기.
DistantBkgObject|DistantBkgObject
GW|GW
Release|풀어 주다
Futile_White|Futile_White
BM_SB_SUBWAY|BM_SB_SUBWAY
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|체크하면 Pearlpup은 길을 잃을 때마다 다음 주기의 다음 대피소에서 다시 생성됩니다.
You would be a hard one to forget after all, <PlayerName>!|<PlayerName> 님은 결국 잊기 힘든 분이실 겁니다!
HowlingRift|하울링 리프트
Starting Inventory Override?|재고 무시를 시작하시겠습니까?
UW|UW
I think I may still have some use left after all!~|아직 쓸 일이 좀 남아있을 것 같아요!~
Foreground|전경
OVERRODE MSC LOAD ORDER - MOD LOAD ORDER:|MSC 로드 순서 오버로드 - MOD 로드 순서:
Read this one too? Yes, yes, here it is...|이것도 읽어? 예, 예, 여기 있습니다...
RW_Outro_Theme|RW_Outro_Theme
GhostDistortion|유령 왜곡
Player 4|플레이어 4
-|-
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|BLUE는 민첩성을 상징합니다. 저장된 각 파란색 진주는 추가 이중 점프를 제공합니다.
Alternatively, hold (|또는 (
Enable Backspear?|백스피어를 사용하시겠습니까?
When checked, disables the camoflague effect granted by an active pearl.|체크하면 활성 진주가 부여하는 위장 효과를 비활성화합니다.
40|40
I already read this one. I can read it again, I suppose.|나는 이미 이것을 읽었다. 다시 읽을 수 있을 것 같아요.
R-Stick|R-스틱
pearlcat_cloak|pearlcat_cloak
.meta|.메타
\nLungsFac |\nLungsFac
Keybind for Player 1.|플레이어 1의 단축키.
train_view_yshift|train_view_yshift
SU|수
Songs|노래
hips|엉덩이
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|어떤 플레이어 컨트롤러 트리거 스와핑이 적용될지. 0은 트리거 스와핑을 비활성화합니다. 누른 상태에서 위 또는 아래로 드래그하여 변경합니다.
I must resume my work. I will be waiting here, as always.|작업을 재개해야 합니다. 언제나처럼 여기서 기다리겠습니다.
