When checked, disables the spear creation effect granted by an active pearl.|チェックすると、アクティブパールによって付与された槍の作成効果を無効にします。
When checked, enables Pearlcat to carry a backspear.|チェックしたら、Pearlcatがバックスピアを運ぶことができます。

Back again? I hope you have brought me something this time.|もう一度？今回はあなたが私に何かを持ってきたことを願っています。

Menu|メニュー

You... I didn't forget...|あなた...私は忘れませんでした...

Swap Input|入力を交換します

You would be a hard one to forget after all, strange scholar!|あなたは結局忘れるのが難しい人でしょう、奇妙な学者！

Disable Improved Input Config?|改良された入力構成を無効にしますか？

R-Stick|Rスティック

Which player controller trigger swapping will apply to. 0 disables trigger swapping. Negative player numbers invert the triggers. Hold and drag up or down to change.|どのプレーヤーコントローラートリガースワッピングが適用されるか。0はトリガースワッピングを無効にします。負のプレーヤー数はトリガーを反転させます。上または下にドラッグして変更します。

I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|あなたが私にもたらす真珠を読むことができてうれしいです。<LINE>特にあなたのユニークな能力を考えると。

Please... this all I have left... you have so much... ...why take mine?|お願いします...これは私が残したすべて...あなたはたくさん持っています... ...なぜ私のものを取るのですか？

Hello. Again.|こんにちは。また。

You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|あなたはかなり遠くから来ますか？あなたは私たちとコミュニケーションをとることができますが、あなたが持っているマークは私にとって異質です...

Pearl Threat Music?|パールの脅威音楽？

Think of this mutually, I can 'see' a little further outside this can...|これを相互に考えてみてください、私はこれをもう少し外に「見る」ことができます...

When checked, disables the revive effect granted by an active pearl.|チェックすると、アクティブパールによって付与されたRevive効果を無効にします。

strange|奇妙な

Welcome back, I suppose.|おかえりなさいと思います。

...did they have a child? ...could you be?|...彼らには子供がいましたか？...できますか？

. . .|。。。

For the number of visits you pay me, how could there only be one of you?|あなたが私に支払う訪問数について、どうしてあなたの一人しかいないのでしょうか？

...there.|...そこには。

And a third? So it is...|そして3番目？だから...

pupheart|pupheart

He is much better equipped than me at present - I would recommend paying him a visit, if you can.<LINE>Although he was not designed as a medical facility, he may be able to aid you, in some way.|彼は現在私よりもはるかに優れています - 私は彼に訪問を支払うことをお勧めします。<LINE>彼は医療施設として設計されていませんが、彼は何らかの形であなたを助けることができるかもしれません。

Number of camo pearls (black). Effective only when Inventory Override? is checked.|迷彩真珠の数（黒）。在庫がオーバーライドする場合にのみ効果的ですか？チェックされています。

You really do remind me so much of your mother...|あなたは本当にあなたの母親の多くを思い出させます...

No, I do not care for your little one.|いいえ、私はあなたの小さなものを気にしません。

But it's best not to dwell on the past, don't you agree <PlayerName>?|しかし、過去にこだわらないことが最善です、あなたは<PlayName>に同意しませんか？

Disable Revive Effect?|Revive Effectを無効にしますか？

Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|それぞれの赤い真珠は追加のレーザーを提供します - そして、はい、これらのバットフリーは非常に敵対的です！

Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|各レッドパールのレーザーがショットごとにダメージを与えます。生存者の槍ダメージ= 1.0

Button South|サウスボタン

If you do not plan to provide me with any meaningful data, that is your best course of action;|意味のあるデータを私に提供する予定がない場合、それがあなたの最良の行動方針です。

Spear Pearl Count|スピアパールカウント

Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|発射後に赤い真珠のレーザーが充電するためのフレームの時間。デフォルト1.5秒。

Player 4|プレーヤー4

) & (|）＆（（

Read this one too? Yes, yes, here it is...|これも読んでいますか？はい、はい、ここにあります...

Oh...? Hello! Hello...|おお...？こんにちは！こんにちは...

YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|黄色は保護を象徴しています。保存された各黄色の真珠は、シールドチャージを提供します

Ah, I hope you both stay safe out there...|ああ、私はあなたがそこに安全を保つことを願っています...

When checked, disables improved input config support, reverting to Remix config. Exit and re-enter the Remix menu to take effect.|チェックすると、改善された入力構成サポートを無効にし、Remix Configに戻ります。施行するためにリミックスメニューを終了して再入力します。

Swap Left|左を交換します

scholar|学者

Player 1|プレーヤー1

Another? And I shall read this one to you as well...|別の？そして、私もあなたにこれを読みます...

The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|広大なものは、あなたがあなたの家族を育て、そして私のビジネスから遠く離れて滞在するための安全な場所になるでしょう。

Disable Camoflague Effect?|カモフラグ効果を無効にしますか？

) while in the air to perform a double jump|）二重ジャンプを行うために空中にいる間

Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|フレームの時間は、イエローパールシールドがアクティブになった後も続きます。デフォルト1.5秒。

I do not know what to make of this.|私はこれをどうするべきかわかりません。

 SAVE|保存

And a nasty scar, poor thing... I can't imagine where you got that, or even where you came from...?|そして、厄介な傷跡、貧しいこと...私はあなたがそれをどこで手に入れたのか、あるいはあなたがどこから来たのか想像することはできません...？

(unfortunately for Pearlpup to spawn, it requires the Downpour DLC to be enabled)|（残念ながら、Pearlpupがスポーンするには、豪雨DLCを有効にする必要があります）

RED symbolizes power. With a red pearl active, all stored red pearls will circle you|赤は力を象徴しています。赤い真珠がアクティブで、すべての保管された赤い真珠があなたを一周します

Keybind for Player 4.|プレーヤー4のKeyBind。

), or the triggers on controller|）、またはコントローラーのトリガー

Welcome back, <PlayerName>!|ようこそ、<PlayName>！

Look at yourself! You know how it feels, to be within an inch of death...|自分を見てください！あなたはそれがどのように感じているかを知っています、死の数インチ以内に...

Misfortune does not discriminate, sadly. I hope a better fate awaits you, in time.|悲しいことに、不幸は差別しません。やがて、より良い運命があなたを待っていることを願っています。

Given your unique abilities, if you are curious as to the contents of those pearls -|あなたのユニークな能力を考えると、あなたがそれらの真珠の内容について興味があるなら -

FIND MIRA...|ミラを見つけて...

I believe that child was you.|私はその子供があなただったと信じています。

The Pearlcat|パールキャット

Sentry Pearl|セントリーパール

Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|槍創造真珠の数（白）。在庫がオーバーライドする場合にのみ効果的ですか？チェックされています。

Pearlpup Respawn?|Pearlpup Respawn？

...and you have brought your little friend along, of course.|...そして、あなたはもちろんあなたの小さな友達を連れてきました。

When checked, disables the camoflague effect granted by an active pearl.|チェックすると、アクティブパールによって付与されたカモフラグ効果を無効にします。

Well, if my memory is serving me correctly, it is nice to see you again... strange scholar.|まあ、私の記憶が私に正しく私に仕えているなら、またあなたに会えてうれしいです...奇妙な学者。

...and don't look to me, it's not my fault...|...そして私に目を向けないでください、それは私のせいではありません...

): swap out a pearl, or change the limit in the Remix options|）：真珠を交換するか、リミックスオプションの制限を変更する

I am glad you found your own solution... even if it is an abhorrent perversion of natural law.|あなたがあなた自身の解決策を見つけてくれてうれしいです...たとえそれが自然法の忌まわしい倒錯であっても。

Ah, yet another one? You are even better at finding these than I imagined...|ああ、もう1つ？あなたは私が想像したよりもこれらを見つけるのがさらに上手です...

Some time ago now, I encountered a scholar and their dying pup...|しばらく前に、私は学者と彼らの死にかけている子犬に出会いました...

Disable Rage Effect?|怒りの効果を無効にしますか？

I'm kidding, of course! My imagination will suffice, though the curiosity does burn me up inside...|もちろん冗談です！私の想像力は十分であるでしょうが、好奇心は私を燃やします...

I must resume my work. I will be waiting here, as always.|私は自分の仕事を再開しなければなりません。いつものようにここで待っています。

Button East|ボタンイースト

) & use the (LEFT) & (RIGHT) directional inputs|）＆（左）および（右）方向入力を使用します

I'm sorry... it's wrong to be so invasive, it's none of my business really.|ごめんなさい...とても侵略的であるのは間違っています、それは私のビジネスのどれではありません。

Hides the visuals of inactive pearls and turns you into... cat.|非アクティブな真珠のビジュアルを隠し、あなたを...猫に変えます。

Oh, hello! Hello!|ああ、こんにちは！こんにちは！

Keybind for Keyboard.|キーボード用のキービンド。

Difficulty|困難

Disable Spear Effect?|槍効果を無効にしますか？

PEARLCAT_MIRA_SKIP|pearlcat_mira_skip

Death is not the end... even death that seems permanent.|死は終わりではありません...恒久的と思われる死でさえ。

Store Pearl|真珠を保存します

Let us see what- oh, again?|何を見てみましょう - ああ、もう一度？

Begin at the start of the Mira storyline...<LINE>The world will be preserved, and pearls will carry over!|ミラストーリーラインの開始時に始まります... <LINE>世界は保存され、真珠は持ち越されます！

Sentry P1|セントリーP1

by|による

They are unwell, <PlayerName>, very unwell indeed.|彼らは気分が悪く、<PlayName>、本当に気分が悪い。

Yes, help yourself. They are not edible.|はい、自分を助けてください。それらは食用ではありません。

Pearlcat|パールキャット

To cycle between pearls, use (|真珠間を循環するには、使用します（

Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Pearlcatの一般的な視認性の乗数の割合は、捕食者の魅力に影響します。デフォルトでは、パールキャットはハンターよりもはるかに目立ちます。

Left Bumper|左バンパー

Welcome back, you two!|どういたしまして、お二人！

...familiar ...help... please...|...馴染みのある...助けてください...お願いします...

Swaps the active pearl to the right.|アクティブパールを右に交換します。

Something new to read... it has been too long...|読むのが新しいもの...それは長すぎました...

My own time is limited, after all...|結局のところ、私自身の時間は限られています...

So curious... I wonder what it is you're searching for?|とても好奇心が強い...私はあなたが何を探しているのだろうか？

To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|真珠を取得するには、空のメインハンドを持ち、保持します（グラブ +アップ）

I very much enjoy the company though... you and your little friend are always welcome here.|私は会社をとても楽しんでいます...あなたとあなたの小さな友人はいつもここで歓迎しています。

- Chinese Translation|- 中国語翻訳

So curious...|とても好奇心が強い...

Get... get away... strange... thing.|取得...逃げてください...奇妙な...事。

I do not have much else to occupy my time with these days...|私は最近で私の時間を占領する他の多くのことを持っていません...

When checked, all tutorials will be disabled.|チェックすると、すべてのチュートリアルが無効になります。

Sentry KB|セントリーKB

Keyboard|キーボード

Right Bumper|右バンパー

Sorry if I seem a little slow by the way, we are designed to operate with millions of neurons, as opposed to, well...|ちなみに少し遅いと思われる場合は、申し訳ありませんが、何百万ものニューロンで動作するように設計されています。

You...|あなた...

I'll always enjoy your company... it gets lonely out here.|私はいつもあなたの会社を楽しんでいます...それはここで孤独になります。

When checked, some abilties will show the inventory when recharged or depleted.|チェックすると、一部のアビルトは、充電または枯渇したときに在庫を表示します。

Swap Right|右に交換します

Hello, again. You are very curious. Very curious indeed.|こんにちは、もう一度。あなたはとても興味があります。確かに非常に興味があります。

thing|もの

Why did you come back here...? I can only imagine it brings back some painful memories.|なぜここに戻ったのですか...？私はそれがいくつかの痛みを伴う思い出をもたらすことを想像することができます。

Custom Keybind?|カスタムキービンド？

I would love to study it, to help treat my own affliction, however it would require... removal of the augment.|私はそれを勉強し、自分の苦しみを治療するために勉強したいと思っていますが、それは...増強の除去が必要です。

Given you have inherited your mother's traits, if you want to make these visits worth my time, bring me something to read...|お母さんの特性を継承していることを考えると、これらの訪問を私の時間に価値のあるものにしたい場合は、私に何か読んでください...

Custom Sentry Keybind?|カスタムセントリーキービンド？

Throwing any weapon within a red pearl's radius will cause it to home onto the nearest hostile creature|赤い真珠の半径内に武器を投げると、最も近い敵対的な生き物に家に帰ります

Keybind for Player 3.|プレーヤー3のkeybind。

...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...おお？それらを取りなさい、彼らが含むデータは私にとって価値がない。彼らはあなたにとってはるかに便利だと思います...

