START|COMMENCER
...we were built to solve problems. It is a shame not every problem has a solution.|...nous avons été construits pour résoudre des problèmes. C'est dommage que tous les problèmes n'aient pas de solution.
I do not know what to make of this.|Je ne sais pas quoi penser de cela.
22385c|22385c
VANILLA SAVE STATE:\n|State de sauvegarde de la vanille: \ n
.meta|.meta
pearlcat_hudcooldown|pearlcat_hudcooldown
haloGlyph6|haloGlyphe6
Ah, I'm sorry... it's wrong to be so invasive, and I shouldn't be so sentimental anyways.|Ah, je suis désolé ... c'est mal d'être si invasif, et je ne devrais pas être si sentimental de toute façon.
Alternatively, hold (|Sinon, maintenez (
Welcome back, <PlayerName>!|Bienvenue à nouveau, <layername>!
s|s
Whichever path you take, I hope you find the help that you seek.|Quel que soit le chemin que vous prenez, j'espère que vous trouverez l'aide que vous recherchez.
Cheats|Astuces
...familiar ...help... please...|... familier ... aide ... s'il vous plaît ...
HUD|HUD
, pearlcatMiscWorld.Inventory.Select(x => $|, perlcatmiscworld.inventory.select (x => $
Oh, hello! Hello!|Oh salut! Bonjour!
I would guess they will grow up into quite the scholar themself, someday...|Je suppose qu'ils deviendront eux-mêmes des érudits, un jour...
A scholar with the ability to manipulate pearls...? Oh... yes! I remember!|Un érudit avec la capacité de manipuler des perles ...?Oh oui!Je me souviens!
legs|jambes
Something new to read... it has been too long...|Du nouveau à lire... ça faisait trop longtemps...
Hello again, <PlayerName>!|Re-bonjour, <PlayerName> !
pearlcat_nightsky|perlcat_nightsky
. . .|. . .
Sorry if I seem a little slow by the way, we are designed to operate with millions of neurons, as opposed to, well...|Désolé si je semble un peu lent d'ailleurs, nous sommes conçus pour fonctionner avec des millions de neurones, par opposition, eh bien ...
I'm just so glad you're safe, too many things have come into my memory, only to be washed away...|Je suis tellement content que vous soyez en sécurité, trop de choses sont venues dans ma mémoire, seulement pour être emportée ...
a486c2|a486c2
HologramBehindTerrain|HologrammeDerrièreTerrain
2: |2 :
{nameof(SaveMiscWorld.ActiveObjectIndex)}:\n{string.Join(|ot
Back again? I hope you have brought me something this time.|De retour? J'espère que vous m'avez apporté quelque chose cette fois.
PEARLCAT MISC PROGRESSION:\n|Progression perlcat Diff: \ n
Sound Hooks Error:\n|Erreur de crochets audio :\n
#|#
face_sick|face_sick
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Il semble contenir un hymne qui signifiait autrefois beaucoup pour les habitants de ma ville...
SS_T1_CROSS|Ss_t1_cross
Oh! It is good to see you two again!|Oh! C'est bon de vous revoir tous les deux !
CloudDistant|NuageDistant
{nameof(SaveMiscProgression.StoredPearlColors)}:\n{string.Join(|ot
{nameof(SaveMiscWorld.ShownSpearCreationTutorial)}: {pearlcatMiscWorld.ShownSpearCreationTutorial}\n|ot
pearlcatFeetA0|pearlcatPiedsA0
Disable Cosmetics?|Désactiver les cosmétiques ?
Begin at the start of the Mira storyline...<LINE>The world will be preserved, and pearls will carry over!|Commencez au début du scénario Mira ... <Line> Le monde sera conservé et les perles se reproduire!
pearl|perle
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|Tu m'as fait bien peur ! Je ne reçois pas souvent de visiteurs ces jours-ci ; <LINE> encore moins de visiteurs comme vous, à qui je peux parler...
pearlpup_adulttail|perlpup_adulttail
Yes, help yourself. They are not edible.|Oui, aidez-vous. Ils ne sont pas comestibles.
)|)
The choice is yours.|Le choix t'appartient.
Swap Pearl|Échanger des perles
Hello again, strange scholar!|Bonjour encore, Strange Scholar!
Keybind for Player 1.|Keybind pour le joueur 1.
Sidera |Sidéra
MISC WORLD NOT FOUND! (not in story session?)\n|Monde divers n'est pas trouvé!(Pas en session d'histoire?) \ n
SI|SI
I won't be going anywhere any time soon... if you need company, you know who to visit!|Je n'irai nulle part de si tôt ... si vous avez besoin de compagnie, vous savez qui visiter!
pearlcat_hudheart|perlcat_hudheart
GravityDisruptor|Perturbateur de gravité
pup_sick|pup_sick
pearlcat_hudshadow|pearlcat_hudshadow
pearlcat_3|perlecat_3
Trigger Player|Joueur déclencheur
 - |-
pupheart|pupheart
DID NOT PREVENT RELEASE|N'a pas empêché la libération
...and what happened to your parent...|... et ce qui est arrivé à vos parents ...
JetFishEyeA|JetFishEyeUn
loadedsoundeffects/ambient|effets sonores chargés / ambiance
pearlcat_light1|pearlcat_light1
pearlactiveplaceholder|espace réservé actif
HI|SALUT
Max Pearl Count|Nombre maximum de perles
You would be a hard one to forget after all, strange scholar!|Vous seriez difficile à oublier après tout, Strange Scholar!
Multiple red pearls may chain this effect together - and yes, these batflies are VERY HOSTILE!|Plusieurs perles rouges peuvent enchaîner cet effet ensemble - et oui, ces Batflies sont très hostiles!
T1_CAR3|T1_CAR3
Keybind for Player 2.|Keybind pour le joueur 2.
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Je n'ai rien pour toi, j'en ai peur... mais j'espère que tu trouveras les réponses que tu cherches.
Camo Pearl Count|Nombre de perles camo
Laser Windup TIme (OLD)|Temps de liquidation au laser (vieux)
The Gutter|La gouttière
Good luck, mysterious scholar.|Bonne chance, érudit mystérieux.
) or (|) ou (
Oh, hello strange scholar!|Oh, bonjour Strange Scholar!
I see you've returned, yet again.|Je vois que tu es revenu, encore une fois.
Welcome back, <PlayerName>, and your little one too.|Bienvenue, <PlayerName>, et votre tout-petit aussi.
, pearlcatMiscWorld.ActiveObjectIndex)}\n|, perlcatmiscworld.activeObjectIndex)} \ n
pearlcat_4|perlecat_4
Body|Corps
HANDLED: Shield Sentry Sound Exception:\n|GÉRÉ : Exception sonore de la sentinelle du bouclier :\n
pearlcatScar|perlcatscar
I have sent a request for the stationary cargo transports in my city to resume operation.|J'ai envoyé une demande pour les transports de marchandises stationnaires dans ma ville pour reprendre les opérations.
Custom Agility Keybind?|Keybind d'agilité personnalisé ?
 Pearlpup will be revived.|Pearlpup sera relancé.
My neighbour, Five Pebbles, is a little temperamental, but means well.|Mon voisin, Five Pebbles, est un peu capricieux, mais a de bonnes intentions.
To release possession, try to deploy the pearl as a sentry, or try to retrieve the pearl|Pour libérer la possession, essayez de déployer la perle en tant que sentinelle ou essayez de récupérer la perle
{nameof(SaveState.cycleNumber)}: {saveState.cycleNumber}\n|ot
HoloGrid|HoloGrille
pearlcat_cloak|pearlcat_cloak
<oA>|<oA>
I cannot guarantee anything - these locomotives have not been operational since my facility was placed into lockdown...|Je ne peux rien garantir - ces locomotives n'ont pas été opérationnelles depuis que mon installation a été placée dans le verrouillage ...
Hello, again. You are very curious. Very curious indeed.|Bonjour à nouveau. Vous êtes très curieux. Très curieux en effet.
pearlpup_tail|pearlpup_tail
FIND MIRA...|Trouvez Mira ...
RegionGate_Heater|Regiongate_heater
TurtleMan27|TortueMan27
Clearly an artifical creation. But from where? Sent by who?|Clairement une création artificielle. Mais d'où ? Envoyé par qui ?
And please keep your child under control.|Et s'il vous plaît gardez votre enfant sous contrôle.
Pearl Spear Count: {pearlcatMiscWorld.PearlSpears.Keys.Count}\n|Perle Spear Count: {PearlcatMiscWorld.pearlsSpears.Keys.Count} \ n
8f1800|8F1800
Pebbles_SS_Pearlcat|Galets_SS_Pearlcat
Grab a creature and hold (GRAB) with an active green pearl to revive them|Saisissez une créature et maintenez (GRAB) avec une perle verte active pour la faire revivre
Linnnnnna |Linnnnna
Sentry KB|Sentry KB
pcat_withpup|pcat_withpup
SleevePearlpup|Manchette
...and you can gather more of that data you so clearly desire.|... et vous pouvez recueillir plus de données que vous désirez si clairement.
Player 4|Joueur 4
.NET Framework 4.8|.NET Framework 4.8
For now, my only lens into the outside is those pearls you carry.|Pour l'instant, mon seul objectif dans l'extérieur est ces perles que vous portez.
), or the triggers on controller|), ou les déclencheurs sur le contrôleur
Hello again, strange scholar...|Bonjour encore, Strange Scholar ...
... |...
850000|850000
Nevermind... this anger is useless...|Peu importe... cette colère ne sert à rien...
pup_drawings|pup_rawings
) while in the air to perform a double jump|) en l'air pour effectuer un double saut
RED symbolizes power. With a red pearl active, all stored red pearls will circle you|Le rouge symbolise la puissance.Avec une perle rouge active, toutes les perles rouges stockées vous encerclent
SB|SB
{nameof(SaveMiscProgression.IsPearlpupSick)}: {pearlcatMiscProg.IsPearlpupSick}\n|ot
thing|chose
...are you alright, little one? The modifications to your body are quite... unusual.|... ça va, petit?Les modifications de votre corps sont assez ... inhabituelles.
pearlcatScarfA0|pearlcatÉcharpeA0
Surely it must be another little beast with a pearl for a heart?|Ce doit sûrement être une autre petite bête avec une perle pour un cœur?
Elliot|Elliot
I can only hope you have not come... to hurt me more.|Je ne peux qu'espérer que tu n'es pas venu... pour me faire plus de mal.
.txt|.SMS
Press (|Presse (
Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Temps en images pour que le laser d'une perle rouge se déclenche après avoir acquis une cible. 1,5 seconde par défaut.
{nameof(SaveMiscWorld.MoonSickPupMeetCount)}: {pearlcatMiscWorld.MoonSickPupMeetCount}\n|ot
So please, bring me more, as long as it isn't too dangerous for you... these visits really are the highlight of my days here...|Alors s'il vous plaît, apportez-moi plus, tant que ce n'est pas trop dangereux pour vous ... ces visites sont vraiment le point culminant de mes jours ici ...
...there.|...là.
Oh, hello there!|Oh bonjour là-bas!
JOLLY: {ModManager.JollyCoop}\n|Jolly: {modmanager.jollycoop} \ n
Sentry P2|Sentry P2
I'm kidding, of course! My imagination will suffice, though the curiosity does burn me up inside...|Je plaisante, bien sûr!Mon imagination suffira, bien que la curiosité me brûle à l'intérieur ...
Back again? You do visit often...|De retour? Vous visitez souvent...
T1_START|T1_START
{nameof(SaveState.malnourished)}: {saveState.malnourished}\n|ot
Pearl Threat Music?|Musique de menace de perle ?
pearlcat_glyphcooldown|pearlcat_glyphcooldown
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Nombre maximum de perles pouvant être stockées à la fois, y compris la perle active. La valeur par défaut est 9. Maintenez et faites glisser vers le haut ou vers le bas pour changer.
I do so wish you could tell me what happened on your travels... I hardly remember the last time I saw beyond this chamber...|Je souhaite que vous puissiez me dire ce qui s'est passé lors de vos voyages ... Je me souviens à peine de la dernière fois que j'ai vu au-delà de cette chambre ...
haloGlyph5|haloGlyphe5
VS|CONTRE
------------------------------|------------------------------
Outro2_1|Outro2_1
Swap Input|Permuter l'entrée
pearlcat_revivesentry|pearlcat_revivesentry
BigGlyph8|BigGlyph8
PEARLCAT_MIRA_SKIP|Perlcat_mira_skip
Difficulty|Difficulté
Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Temps en images pour que le laser d'une perle rouge se recharge après le tir. 1,5 seconde par défaut.
Hello! I remember you! I remember...|Bonjour! Je me souviens de vous! Je me souviens...
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Lorsqu'elles sont cochées, les perles n'accordent plus de modifications de statistiques, actives ou non, et les statistiques de base sont définies pour être similaires à Hunter.
Is my memory so bad to forget how your little one looks? They seem paler...|Ma mémoire est-elle si mauvaise pour oublier à quoi ressemble votre petit? Ils paraissent plus pâles...
Sick|Malade
pearlcat_6|perlecat_6
TIME: {DateTime.UtcNow}\n|Temps: {DateTime.UtcNow} \ n
AltOutro10_1|Altoutro10_1
I believe that child was you.|Je crois que cet enfant était toi.
Atlas not found! ({uniqueName})|Atlas introuvable ! ({nom unique})
Given your unique abilities, if you are curious as to the contents of those pearls -|Compte tenu de vos capacités uniques, si vous êtes curieux de connaître le contenu de ces perles -
You and your family are always welcome here - please visit often!|Vous et votre famille êtes toujours les bienvenus ici - veuillez visiter souvent!
Futile_White|Futile_Blanc
Pearl spears will attempt to return to you being thrown, if they are not stuck|Pearl Spears tentera de retourner vers vous en étant jeté, s'ils ne sont pas coincés
The company of you and your friend makes my day, strange scholar.|La compagnie de vous et de votre ami fait ma journée, un érudit étrange.
pearlcat_8|perlecat_8
Face|Affronter
Custom Sentry Keybind?|Keybin Sentry personnalisé ?
I must resume my work. I will be waiting here, as always.|Je dois reprendre mon travail. Je t'attendrai ici, comme toujours.
JaggedSquare|JaggedCarré
HoldButtonCircle|HoldbuttonCircle
Laser Recharge Time (OLD)|Temps de recharge au laser (vieux)
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Un érudit d'origine obscure, armé d'une énergie énigmatique et d'une soif de connaissances.<LINE>Physiquement fragile, mais avec des perles comme alliées - que découvrirez-vous lors de vos voyages ?
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
When checked, disables the camoflague effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet camoflague accordé par une perle active.
fcb103|FCB103
Hold (|Prise (
Your attachment to that thing is unavoidable, I suppose.|Votre attachement à cette chose est inévitable, je suppose.
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|Le BLEU symbolise l'agilité. Chaque perle bleue stockée fournira un double saut supplémentaire
I hope you are staying safe out there...|J'espère que vous restez en sécurité là-bas...
I have so little... please don't take... this... this is all I have...|J'ai si peu ... s'il vous plaît ne prenez pas ... ce ... c'est tout ce que j'ai ...
I know that quite well.|Je le sais très bien.
PEARLCAT OE ENDING|FINITION PEARLCAT OE
Balagaga|Balagaga
If only I had my memories, I might have a clue...|Si seulement j'avais mes souvenirs, j'aurais peut-être une idée...
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Je suis toujours plus qu'heureux de lire toutes les perles que vous m'apportez ;<LINE>surtout compte tenu de vos capacités uniques.
scholar|savant
MERGEFIX VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Version MergeFix: {modManager.ActiveMods.Firstordefault (x => x.id ==
And why... to me?|Et pourquoi... à moi ?
Store Input|Stocker l'entrée
pixel|pixels
pearlcat_spire3|pearlcat_spire3
pearlcat_support_night|perlcat_support_night
Intended to make gameplay more challenging, may change gameplay significantly!|Destiné à rendre le gameplay plus difficile, peut changer le gameplay de manière significative !
Hello. Again.|Bonjour.Encore.
LF|LF
{nameof(SaveMiscProgression.Ascended)}: {pearlcatMiscProg.Ascended}\n|ot
{nameof(SaveMiscProgression.IsNewPearlcatSave)}: {pearlcatMiscProg.IsNewPearlcatSave}\n|ot
When checked, some abilties will show the inventory when recharged or depleted.|Lorsqu'elles sont cochées, certaines capacités affichent l'inventaire lorsqu'elles sont chargées ou épuisées.
head|tête
PEARLCAT WARP END|FIN DE CHAÎNE PEARLCAT
5|5
Welcome back, I suppose.|Bienvenue à nouveau, je suppose.
Sentry P1|Sentry P1
MSC|MSC
Disable Revive Effect?|Désactiver l'effet Revive ?
OE|équipement d'origine
Swap Right|Permuter à droite
Button South|Bouton Sud
GateHologram|PorteHologramme
Please, stay as long as you'd like, I can't begin to imagine what you've been through.|S'il vous plaît, restez aussi longtemps que vous le souhaitez, je ne peux pas commencer à imaginer ce que vous avez vécu.
Debug|Déboguer
soundeffects/ambient|effets sonores/ambiance
FORCE CREATURE RELEASE UNDER ROOM|Force la libération de créature sous la pièce
pcat_sad|pcat_sad
OnModsInit:\n|OnModsInit :\n
When checked, disables the revive effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet de réanimation accordé par une perle active.
REDIRECT:|RÉORIENTER:
Player 1|Joueur 1
{nameof(SaveState.denPosition)}: {saveState.denPosition}\n|{nom de (sauver state.deposition)}: {Savestate.deposition} \ n
...but... I will think on your problem, for now. Perhaps I can find a solution for both of us.|... mais... Je vais réfléchir à votre problème, pour l'instant. Je peux peut-être trouver une solution pour nous deux.
Disable Rage Effect?|Désactiver l'effet de rage ?
Lolight2|Lolight2
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Lorsqu'elle est cochée, les cosmétiques de Pearlcat seront désactivés, destinés à autoriser les sprites personnalisés via DMS. Cela n'inclut pas les perles elles-mêmes.
WARNING|AVERTISSEMENT
pearlcat_over9|pearlcat_over9
L-Stick|Bâton en L
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Nombre de perles d'agilité (bleues). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Temps en images que le bouclier de perle jaune dure après l'activation. 1,5 seconde par défaut.
Your little friend is still quite sick, unfortunately.|Votre petit ami est encore assez malade, malheureusement.
Music|Musique
{nameof(SaveMiscProgression.AscendedWithPup)}: {pearlcatMiscProg.AscendedWithPup}\n|ot
- Artwork|- Ouvrages d'art
PostModsInit:\n|PostModsInit :\n
SH|SH
scarf|foulard
You really do remind me so much of your mother...|Tu me rappelles vraiment ta mère ...
Oracle Hooks Error:\n|Erreur de crochets Oracle :\n
You seem to be doing well for yourself nonetheless, your tenacity from whatever occurred is admirable!|Vous semblez bien faire pour vous-même, votre ténacité de tout ce qui s'est produite est admirable!
40|40
A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|Un érudit curieux avec la capacité inhabituelle d'exploiter les perles à leur avantage.<LINE><LINE>Configurez les entrées, la difficulté, les astuces et plus via la configuration Remix !<LINE><LINE>Plus de Slugcats est facultatif, mais fortement recommandé.
9badc7|9badc7
Laser Damage (OLD)|Dommages laser (vieux)
Was it really so long ago that you were only half my height...?|Était-ce vraiment si longtemps que tu n'étais que la moitié de ma taille ...?
pearlcat_structure3|pearlcat_structure3
Spear Pearl Count|Nombre de perles de lance
1.0.0.0|1.0.0.0
{nameof(SaveMiscWorld.PebblesMetSickPup)}: {pearlcatMiscWorld.PebblesMetSickPup}\n|ot
CURRENT MAIN LOOP: {rainWorld.processManager?.currentMainLoop?.GetType()}\n|Boucle principale actuelle: {rainworld.processManager? .CurrentMainloop? .GetType ()} \ n
You...|Toi...
- Spanish Translation|- Traduction espagnole
PLAYTESTERS|TESTEURS DE JEU
I... wish there was more I could do... but even... nevermind in my current state.|J'aurais aimé pouvoir faire plus... mais même... tant pis dans mon état actuel.
pearlcat_activerage|perlcat_activerage
_atlases|_atlas
I am not sure if you are aware, but your child appears very unwell...|Je ne sais pas si vous êtes au courant, mais votre enfant semble très malade...
pup|chiot
ERROR REMOVING PERSISTENT TRACKERS FROM STORED OBJECTS: \n|Erreur supprimant les trackers persistants des objets stockés: \ n
Ah, yet another one? You are even better at finding these than I imagined...|Ah, encore un autre ? Tu es encore meilleur pour les trouver que je ne l'imaginais...
T1_CAREND|T1_CAREND
pearlcat_possesscircle|perlcat_possesscircle
I am glad you found your own solution... even if it is an abhorrent perversion of natural law.|Je suis content que vous ayez trouvé votre propre solution ... même si c'est une perversion odieuse de la loi naturelle.
Button East|Bouton Est
Well, if my memory is serving me correctly, it is nice to see you again... strange scholar.|Eh bien, si ma mémoire me sert correctement, c'est agréable de vous revoir ... Strange Scholar.
I may not have the facilities to aid you, however...|Je n'ai peut-être pas les installations pour vous aider, cependant ...
Disable Minor Effects?|Désactiver les effets mineurs ?
Ah, you have returned? You look about as sickly as I remember.|Ah, vous êtes revenu?Vous regardez aussi malades que je me souviens.
\n  |\ n
improved-input-config|amélioration de l'entrée
DschockHorizontalRight|DschockHorizontalDroit
 SAVE|SAUVEGARDER
Sleeve|Manche
Efi|Efi
{Plugin.MOD_ID}:ability|{Plugin.mod_id}: capacité
I'm sorry... it's wrong to be so invasive, it's none of my business really.|Je suis désolé ... c'est mal d'être si invasif, ce n'est vraiment pas mes affaires.
Inventory Override?|Remplacer l'inventaire ?
Kimi |Kimi
Player 2|Joueur 2
- Additional Artwork|- œuvres d'art supplémentaires
---------------------------------------------------------------|-------------------------------------------------- --------------
Player 3|Joueur 3
I already read this one. I can read it again, I suppose.|J'ai déjà lu celui-ci. Je peux le relire, je suppose.
{nameof(SaveMiscWorld.Inventory)}:\n{string.Join(|{nameof (SaveMiscWorld.inventory)}: \ n {string.join (
Welc- Hello. Hello again.|Welc- bonjour.Bonjour à nouveau.
Ah, I won't lie... I am curious as to how you ended up back here, and what happened on your travels...|Ah, je ne mentirai pas ... Je suis curieux de savoir comment vous avez fini ici, et ce qui s'est passé lors de vos voyages ...
arm|bras
3.0|3.0
Is that you, little scholar? I'm speechless...|C'est toi, petit savant?Je suis sans voix...
Edit keybinds through the normal input menu.|Modifiez KeyBinds via le menu d'entrée normal.
GATE_SL_MS|GATE_SL_MS
tail|queue
I will tolerate your pressence, so long as you bring me something meaningful.|Je tolèrerai votre présence, tant que vous m'apporterez quelque chose de significatif.
_AboveCloudsAtmosphereColor|_AboveCloudsAtmosphereColor
Considering the state you left in, I thought it impossible I would see you again... and yet here you are.|Compte tenu de l'état dans lequel vous avez laissé, j'ai pensé que je vous reverrais à nouveau ... et pourtant vous êtes ici.
When checked, the inventory HUD will be replaced with a more compact version.|Lorsqu'il est coché, le HUD d'inventaire sera remplacé par une version plus compacte.
{nameof(SaveMiscWorld.ShownFullInventoryTutorial)}: {pearlcatMiscWorld.ShownFullInventoryTutorial}\n|ot
VERSION WARNING|Avertissement de version
...but, you are not like I remember them? Am I misremembering so badly?|... Mais tu n'es pas comme si je me souviens d'eux?Suis-je si mal réalisé?
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|Les charges sont consommées pour fournir une protection. Chaque perle reconstitue individuellement sa charge après un certain temps
General|Général
pearlcat_1|perlecat_1
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Multiplicateur de pourcentage sur la visibilité générale de Pearlcat, influence l'attraction des prédateurs. Par défaut, Pearlcat est nettement plus visible que même Hunter.
For the number of visits you pay me, how could there only be one of you?|Pour le nombre de visites que vous me payez, comment ne pourrait-il y en avoir qu'un seul?
And who is your little friend? They are quite adorable!|Et qui est ton petit ami ? Ils sont tout à fait adorables !
Prefer to use the custom keybinds below for spear creation, instead of the default (GRAB)|Préférez utiliser les raccourcis clavier personnalisés ci-dessous pour la création de lance, au lieu de la valeur par défaut (GRAB)
WillowWisp|WillowWisp
START PEARL THREAT |Commencer la menace de perles
PFeet|Pfeet
Store Pearl|Perle de magasin
.  .  .|. . .
pearlcatHipsAPearlpupSick|perlcathipsapearlpupsick
Visibility Multiplier|Multiplicateur de visibilité
}\n|} \ n
Swaps the active pearl to the left.|Échange la perle active vers la gauche.
\n|\n
Keybind for Player 4.|Keybind pour le joueur 4.
Storage limit reached (|Limite de stockage atteinte (
REMIX: {ModManager.MMF}\n|Remix: {modmanager.mmf} \ n
BigGlyph12|BigGlyphe12
Input a shelter name to have it override where Pearlcat starts a new game.|Entrez un nom d'abri pour qu'il remplace l'endroit où Pearlcat commence une nouvelle partie.
pearlcat_hudcircle|pearlcat_hudcircle
{nameof(SaveMiscWorld.PearlpupID)}: {pearlcatMiscWorld.PearlpupID ?? -1}\n|{nameof (SaveMiscWorld.pearlPupid)}: {PearlcatMiscworld.pearlPupid ??-1} \ n
mira|Mira
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Chaque perle rouge fournit un laser supplémentaire - et oui, ces batflies sont TRÈS HOSTILES !
4: |4 :
pearlcat_flyingclouds|pearlcat_flyingclouds
ear_l|comte
pearlpup_cloak|perlpup_cloak
Oh... oh no...|Ah... ah non...
Enable Backspear?|Activer la contre-lance ?
Hologram|Hologramme
Pearlcat_Heartmend|Perlcat_heartmend
Get... get away... strange... thing.|Sortez... partez... étrange... chose.
29193d|29193d
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...Oh? Prenez-les, les données qu'ils contiennent ne valent rien pour moi. Je suppose qu'ils te seraient beaucoup plus utiles...
There is nothing I can do - I am not a medical facility, and even if I were, my equipment is far from pristine.|Il n'y a rien que je puisse faire - je ne suis pas un établissement médical, et même si je l'étais, mon équipement est loin d'être parfait.
Prefer to use the custom keybinds below for agility double jump, instead of the default (GRAB + JUMP)|Préférez utiliser les raccourcis clavier personnalisés ci-dessous pour le double saut d'agilité, au lieu de la valeur par défaut (GRAB + JUMP)
Hides the visuals of inactive pearls and turns you into... cat.|Cache les visuels des perles inactives et vous transforme en... chat.
Looping SFX Error, Outsider often likes to cause this:\n|Erreur SFX en boucle, Outsider aime souvent provoquer ceci :\n
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Lorsqu'il est coché, Pearlpup réapparaîtra dans le prochain abri lors du cycle suivant chaque fois qu'il sera perdu.
...and don't look to me, it's not my fault...|... et ne me regarde pas, ce n'est pas de ma faute ...
Custom Spear Keybind?|Un lien de lance personnalisé ?
pearlcat_agilitysentry|pearlcat_agilitysentry
No, I do not care for your little one.|Non, je ne m'occupe pas de votre petit.
_textures|_textures
Right Bumper|Pare-chocs droit
pearlcat_ribbon|perlcat_ribbon
Improved Input Config is active!|La configuration d'entrée améliorée est active!
AS IS|COMME SI
All times here are in frames.<LINE>40 frames = 1 second.|Toutes les heures ici sont en images.<LINE>40 images = 1 seconde.
Chimney Canopy|Auvent de cheminée
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Mais... la marque que vous possédez est très inhabituelle.<LINE>Pas quelque chose que n'importe qui dans le groupe local pourrait accorder...
Misfortune does not discriminate, sadly. I hope a better fate awaits you, in time.|Le malheur ne fait pas de discrimination, malheureusement. J'espère qu'un meilleur sort vous attend, avec le temps.
It doesn't matter I suppose, you may stay, so long as you don't disturb my work...|Peu importe, je suppose, vous pouvez rester, tant que vous ne dérangez pas mon travail ...
pearlcat_2|perlecat_2
To store, hold the same keybind with a pearl in your main hand|Pour ranger, tenez le même raccourci clavier avec une perle dans votre main principale
pearlcat_bottomshutter_night|perlcat_bottomshutter_night
Rage Pearl Count|Nombre de perles de rage
Ability P1|Capacité P1
BigGlyph6|BigGlyph6
pearlcat_ragesentry|perlcat_ragesentry
So... anything for me to read?|Alors ... quelque chose pour moi à lire?
Pearlpup Respawn?|Réapparition de Pearlpup ?
Pearls may also be deployed as temporary sentries. Press (GRAB + JUMP + DOWN) to deploy, and again to return.|Les perles peuvent également être déployées en tant que sentinelles temporaires. Appuyez sur (GRAB + JUMP + DOWN) pour déployer, et encore une fois pour revenir.
Disable Improved Input Config?|Désactiver la configuration d'entrée améliorée?
STOP PEARL THREAT|Arrêter la menace des perles
Version|Version
300|300
pearlcat_bottomshutter|pearlcat_bottomshutter
They are unwell, <PlayerName>, very unwell indeed.|Ils ne vont pas bien, <PlayerName>, vraiment très mal.
{nameof(SaveMiscProgression.DidHavePearlpup)}: {pearlcatMiscProg.DidHavePearlpup}\n|{nameof (SAVEMISMPROGRESS
Brought me something to read? Or just wasting my time, as per usual?|M'a apporté quelque chose à lire ? Ou juste perdre mon temps, comme d'habitude ?
Outro3_1|Outro3_1
Four! Well, if you insist...|Quatre ! Eh bien, si vous insistez...
Reverts to the old red pearl mechanics - auto targeting lasers.|Revient à l'ancienne mécanique des perles rouges - les lasers ciblant automatiquement.
) & (|) & (
START OF BEPINEX LOG|Début du journal Bepinex
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Active les raccourcis clavier personnalisés ci-dessous, par opposition à la valeur par défaut (UP + PICKUP).
pearlactive|perleactive
I have tried to reconstruct it from memory many times, fruitlessly.|J'ai essayé de le reconstituer de mémoire plusieurs fois, sans succès.
pearlcat_7|perlecat_7
PEARLCAT SAYS HELLO FROM INIT! (VERSION: |Pearlcat dit bonjour d'Init!(VERSION:
hips|les hanches
Death is not the end... even death that seems permanent.|La mort n'est pas la fin... même la mort qui semble permanente.
Ability KB|Capacité kb
Number of camo pearls (black). Effective only when Inventory Override? is checked.|Nombre de perles camo (noires). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
My own time is limited, after all...|Mon temps est limité, après tout...
pearlcatScarfC0|pearlcatÉcharpeC0
DM|DM
PEARLCAT WARP|PERLE CHAT WARP
