Menu|Menú
You are just a lot to take in for little old me! A fascinating power, the gift of communication;|¡Solo eres demasiado como para que una pequeña anciana como yo pueda asimilar!<LINE>Un poder fascinante, el don de la comunicación;

...are you alright, little one? The modifications to your body are quite... extreme.|... ¿Te encuentras bien, pequeño? Los cambios en tu cuerpo son muy... extremos.

...help... please...|... Auxilio... por favor...

by|de

Well, if my memory is serving me correctly, it is nice to see you again... strange scholar.|Bueno, si mi memoria no me falla, es un placer verte de nuevo... extraño erudito.

Clearly artificial creations. But from where? Sent by who?|Creaciones artificiales, evidentemente. Pero ¿de dónde? ¿Enviadas por quién?

Sentry P3|J3: Centin.

Oh, hello strange scholar!|Oh, ¡hola, extraño erudito!

I'll always enjoy your company... it gets lonely out here.|Siempre disfrutaré de tu compañía... aquí fuera se vuelve desolado.

WIP - no new ending yet!<LINE>If you find any bugs, please report them to forthfora!|WIP; ¡aún no hay ningún final nuevo!<LINE>¡Si encuentras algún bug o error, notifíquelo a forthfora!

When checked, disables the rage effect granted by an active pearl.|Si se encuentra marcada, desactiva el efecto de ira otorgada por una perla activa.

If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to pass the time.|Si alguna vez te sobra el tiempo, estaría más que contenta de leer esas perlas...<LINE>No hay mucho que hacer como para pasar el rato.

...well, given your unique set of skills... if you ever need something read...|... Bueno, dado tu conjunto de habilidades únicas... si alguna vez necesitas que algo sea leído...

Deploys the active pearl as a sentry, or returns it if it is already deployed.|Despliega la perla activa como centinela, y la regresa si ya está desplegada.

Back again? You do visit often...|¿Volviste otra vez? Visitas muy a menudo...

FIND MIRA...|HALLAR A MIRA...

Welcome back, you two!|¡Bienvenidos de vuelta!

I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Me temo que no tengo nada para ti... pero ojalá encuentres las respuestas que buscas.

...hello?|... ¿Hola?

Ah. So you've returned.|Ah. Así que has regresado.

Shield Duration|Duración del escudo

I won't be going anywhere any time soon... if you need company, you know who to visit!|No iré a ningún lado pronto... si necesitas compañía, ¡ya sabes a quién visitar!

Who... who is there?|¿Quién...? ¿Quién anda ahí?

Look at yourself! You know how it feels, to be within an inch of death...|¡Solo mírate! Sabes cómo se siente estar a un centrímetro de la muerte...

And please keep your child under control.|Y, por favor, mantén a tu hijo bajo control.

You would be a hard one to forget after all, <PlayerName>!|¡que serías difícil de olvidar, después de todo, <PlayerName>!

Pearls may also be deployed as temporary sentries. Press (GRAB + JUMP + DOWN) to deploy, and again to return.|Pulsa (AGARRAR + SALTAR + ABAJO) para desplegarlas como centinelas temporales, y pulsa otra vez para que regresen.

I am not sure if you are aware, but your child appears very unwell...|No sé si eres consciente de esto, pero tu hijo parece encontrarse muy mal...

I still don't have much to offer, sadly... aside from my pearl readings, and company of course! ~|Por desgracia, todavía no tengo mucho que ofrecer... ¡fuera de mis lecturas de perlas y mi compañía, por supuesto! ~

I... I have nothing more to say...|Yo... No tengo nada más que decir...

In any case, you are welcome to stay as long as you like. Anything to ease the pain.|En cualquier caso, siéntete libre de quedarte todo el tiempo que quieras. Lo que sea para aliviar el dolor.

Sentry Pearl|Perla centin.

Hello. Again.|Hola. De nuevo.

Number of camo pearls (black). Effective only when Inventory Override? is checked.|Número de perlas de camuflaje (negras). Solo es efectivo si «Anulación del inventario» está marcada.

I believe that child was you.|Creo que esa cría eras tú.

It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Parece contener un himno que alguna vez significó mucho para los habitantes de mi ciudad...

...and don't look to me, it's not my fault...|... Y no me mires, no es mi culpa...

The surviving scholar returns once more... how poetic.|El erudito superviviente regresa una vez más... cuán poético.

Keybind for Keyboard.|Botón para el teclado.

Disable Cosmetics?|Desactivar cosméticos

Is my memory so bad to forget how your little one looks? They seem paler...|¿Tan mala es mi memoria como para olvidar cómo se ve tu pequeño? Parece más pálido...

Welcome back, <PlayerName>, and your little one too.|Bienvenida de vuelta, <PlayerName>, y a tu pequeño también.

Hello! Strange scholar, it is good to see you!|¡Hola! ¡Un gusto volver a verte, extraño erudito!

Player 1|Jugador 1

You are... so familiar...|Eres muy... familiar...

If you do not plan to provide me with any meaningful data, that is your best course of action;|Si no planeas proveerme ningún dato importante, ese es tu mejor rumbo;

Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Tiempo en fotogramas que dura el escudo de perlas amarillas después de activarse. Predeterminado: 1.5 segundos.

Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Cada perla roja proporciona un láser adicional; y sí, estos mosca-murciélagos son ¡MUY HOSTILES!

L-Stick|Palanca izquierda

Hello again, strange scholar!|¡Hola otra vez, extraño erudito!

The Gutter|El canal

Agility Pearl Count|Total de perlas de agilidad

Disable Improved Input Config?|Desactivar IIC

Hello, again. You are very curious. Very curious indeed.|Hola de nuevo. Eres muy curiosa. Ciertamente muy curiosa.

Ability P2|J2: Habil.

...but, you are not like I remember them? Am I misremembering so badly?|Pero... no eres como la recuerdo. ¿Tan mal estoy rememorando?

) & (|) y (

Good luck, mysterious scholar.|Buena suerte, misterioso erudito.

Oh, hello there!|Oh, ¡hola!

Another one? I shouldn't be surprised. Let's see...|¿Otra? No debería estar sorprendido. Veamos...

You're welcome to stay a while... your ability is fascinating.|Siéntete libre de quedarte un rato... tu habilidad es fascinante.

Get... get away... strange... thing.|Lá... Lárgate... bicho... extraño.

Swap Pearl|Cambiar perla

A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|Un curioso erudito con la capacidad inusual de aprovechar las perlas para su ventaja. <line> <line> Configure entradas, dificultades, trucos y más a través de la configuración de remix! <line> <line> más slugcats es opcional, pero es muy recomendable.

Swap Input|Cambiar

Yes, help yourself. They are not edible.|Sí, sírvete. No son comestibles.

Input a shelter name to have it override where Pearlcat starts a new game.|Escribe el nombre de un refugio para que anule el lugar donde Perlina comienza una nueva partida.

Given your unique abilities, if you are curious as to the contents of those pearls -|Dadas tus habilidades únicas, si tienes curiosidad sobre el contenido de esas perlas...

I very much enjoy the company though... you and your family are always welcome here.|No obstante, disfruto mucho de la compañía... tú y tu familia siempre serán bienvenidos aquí.

...you can manipulate our storage medium in unforseen ways...|... Puedes manipular nuestros medios de almacenamiento de formas imprevistas...

Player 3|Jugador 3

Welcome back, <PlayerName>!|¡Bienvenida de vuelta, <PlayerName>!

Misfortune does not discriminate, sadly. I hope a better fate awaits you, in time.|La desgracia no discrimina, lamentablemente. Espero que te aguarde un destino mejor con el tiempo.

Disable Camoflague Effect?|Desactivar efecto de camuflaje

Death is not the end... even death that seems permanent.|La muerte no es el fin... ni siquiera la que parece permanente.

If only I had my memories, I might have a clue...|Si tan solo tuviera mis recuerdos, podría tener alguna idea...

Please, stay as long as you'd like, I can't begin to imagine what you've been through.|Quédate todo el tiempo que quieras, no puedo ni imaginarme por lo que has pasado.

I assure you it will be a more than suitable replacement for your primitive needs.|Te aseguro que será un reemplazo más que adecuado para tus necesidades primitivas.

...we were built to solve problems. It is a shame not every problem has a solution.|... Fuimos construidos para resolver problemas. Es una lástima que no todos los problemas tengan solución.

...are you alright, little one? The modifications to your body are quite... unusual.|... ¿Te encuentras bien, pequeño? Los cambios en tu cuerpo son muy... inusuales.

Ah, I'm sorry... it's wrong to be so invasive, and I shouldn't be so sentimental anyways.|Ah, lo siento... está mal que sea tan invasiva, y, de todos modos, no debería ser tan sentimental.

But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Pero... la marca que posees es muy inusual.<LINE>No es algo que cualquiera en el grupo local pueda conferir...

Store Pearl|Almac. perla

Swap Left|Cambiar izq.

When checked, disables the revive effect granted by an active pearl.|Si se encuentra marcada, desactiva el efecto de resurrección otorgada por una perla activa.

When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Si se encuentra marcada, las perlas ya no otorgarán cambios de estadísticas, ya sean activas o no, y las estadísticas base se ajustarán para que sean similares a las del Cazador.

...there.|... Listo.

RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|ROJO simboliza poder. Con una perla roja activa, la criatura hostil más cercana será el objetivo

... |... 

- Dialogue, SFX|- Diálogos y<LINE>efectos de sonido

When checked, some abilties will show the inventory when recharged or depleted.|Si se encuentra marcada, algunas habilidades mostrarán el inventario al estar recargadas o agotadas.

Player 4|Jugador 4

Player 2|Jugador 2

Grab a creature and hold (GRAB) with an active green pearl to revive them|Agarra a una criatura y mantén pulsado (AGARRAR) con una perla verde activa para resucitarla

VERSION WARNING<LINE>Mira Installation requires a more recent version of Pearlcat! Please update...|¡Advertencia de versión <line> La instalación de Mira requiere una versión más reciente de PearlCat!Actualice ...

Custom keybind to perform certain pearl abilities, configure which use the custom bind in Pearlcat's Remix config.|Botón personalizado para realizar ciertas habilidades de perla, configura cuáles utilizan este botón en los ajustes de Remix de Perlina.

Hides the visuals of inactive pearls and turns you into... cat.|Oculta la visibilidad de las perlas inactivas.

Please try not to push me too hard; with the number of neurons I have... let's just say my mind gets a little foggy.|Por favor, intenta no presionarme demasiado; con la cantidad de<LINE>neuronas que tengo... pues digamos que mi mente se nubla un poco.

Disable Minor Effects?|Desactivar efectos menores

He is much better equipped than me at present - I would recommend paying him a visit, if you can.<LINE>Although he was not designed as a medical facility, he may be able to aid you, in some way.|Él está mucho mejor equipado que yo actualmente; te recomendaría que le hagas una visita, si puedes.<LINE>Aunque no fue diseñado como una instalación medica, es posible que pueda ayudarte de alguna forma.

Chimney Canopy|Chimenea

A scholar with the ability to manipulate pearls...? Oh... yes! I remember!|Un erudito con la habilidad de manipular perlas... ¡Oh... sí! ¡Me acuerdo!

I'm just so glad you're safe, too many things have come into my memory, only to be washed away...|Es solo que me alegra mucho de que estés a salvo,<LINE>demasiadas cosas pasaron por mi memoria, solo para que se quedaran en el ayer...

Ah, you didn't happen to find a way to tell me about your travels, did you?|Ah, no habrás encontrado una manera de contarme acerca de tus viajes, ¿verdad?

Keybind for Player 1.|Botón para el jugador 1.

You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|¡Qué susto me has dado! No recibo muchas visitas estos días,<LINE>mucho menos por visitantes como tú con los que pueda hablar...

I have so little... please don't take... this... this is all I have...|Tengo tan poco... por favor, no te las lleves... Esto... Esto es todo lo que tengo...

When checked, enables Pearlcat to carry a backspear.|Si se encuentra marcada, permite a Perlina llevar una lanza en la espalda.

Extra Cheats|Más trucos

I remember this one... don't you? Well...|Recuerdo esta... ¿tú no? Vaya...

I assume you may find them nearby the area you arrived; that is via the access shaft, if you have forgotten.|Presupongo que los podrás encontrar cerca del área del que llegaste; es decir, por el hueco de acceso, si lo has olvidado.

This illness, it is unlike any I have seen before - I can say it is likely fatal.|Esta enfermedad no se parece a ninguna que haya visto antes; puedo decir que es probablemente letal.

When checked, sets the inventory to the specified numbers of coloured pearls below every cycle. Does not save over the current inventory - it is returned to when unchecked.|Si se encuentra marcada, establece el inventario a la cantidad especificada de perlas coloridas de abajo en cada ciclo. No guarda sobre el inventario actual; se regresa al ser desmarcada.

Background|Fondo

Custom Sentry Keybind?|Botón person. de centinela

) to deploy, and again to return.|) para desplegarlas como centinelas temporales, y pulsa otra vez para que regresen.

Ah, you have returned? You look about as sickly as I remember.|Ah, ¿has regresado? Te ves tan enfermo como de lo que recuerdo.

When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Si se encuentra marcada, la mayoría de las perlas (cuando están activas) forzarán el tema de amenazas para todas las regiones al tema de la región de las que eran originalmente.

I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Asumo que lo único que valoras de estas perlas es cuán pura es su estructura, así que te la voy a sustituir por otra mucho más refinada.

Ability P4|J4: Habil.

Hello again, <PlayerName>!|¡Hola otra vez, <PlayerName>!

Intended for fun, may change gameplay significantly!|Diseñado para divertirse, ¡puede cambiar de manera significativa las partidas!

Sentry P4|J4: Centin.

I've accepted my fate - and one day, you will meet an end too...|He aceptado mi destino, y algún día tú te encontrarás con el tuyo también...

