CANNOT PLAY\n|IMPOSSIBLE DE JOUER\n
Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Temps en images que le bouclier de perle jaune dure après l'activation. 1,5 seconde par défaut.
store_object_delay|store_object_delay
BigGlyph12|BigGlyphe12
) or (|) ou (
pearlcatFeetA0|pearlcatPiedsA0
Keybind for Player 3.|Keybind pour le joueur 3.
DrainageSystemPlus|DrainageSystemPlus
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|Le ROUGE symbolise le pouvoir. Avec une perle rouge active, la créature hostile la plus proche sera ciblée
Ah, yet another one? You are even better at finding these than I imagined...|Ah, encore un autre ? Tu es encore meilleur pour les trouver que je ne l'imaginais...
) & (|) & (
Swap Right|Permuter à droite
SPECEVENT|SPÉCÉVÉNEMENT
pearlcat_spire5|pearlcat_spire5
...there.|...là.
DistantBkgObject|DistantBkgObjectDistantBkgObject
GW|GW
Release|Libérer
Futile_White|Futile_Blanc
BM_SB_SUBWAY|BM_SB_SUBWAY
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Lorsqu'il est coché, Pearlpup réapparaîtra dans le prochain abri lors du cycle suivant chaque fois qu'il sera perdu.
You would be a hard one to forget after all, <PlayerName>!|Vous seriez difficile à oublier après tout, <PlayerName> !
HowlingRift|Faille hurlante
Starting Inventory Override?|Démarrage de l'annulation de l'inventaire ?
UW|UW
I think I may still have some use left after all!~|Je pense qu'il me reste encore un peu d'utilité après tout ! ~
Foreground|Premier plan
OVERRODE MSC LOAD ORDER - MOD LOAD ORDER:|ORDRE DE CHARGEMENT MSC SUPPRIMÉ - ORDRE DE CHARGEMENT MOD :
Read this one too? Yes, yes, here it is...|Lire celui-ci aussi ? Oui, oui, c'est ici...
RW_Outro_Theme|RW_Outro_Theme
GhostDistortion|Distorsion fantôme
Player 4|Joueur 4
-|-
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|Le BLEU symbolise l'agilité. Chaque perle bleue stockée fournira un double saut supplémentaire
Alternatively, hold (|Sinon, maintenez (
Enable Backspear?|Activer la contre-lance ?
When checked, disables the camoflague effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet camoflague accordé par une perle active.
40|40
I already read this one. I can read it again, I suppose.|J'ai déjà lu celui-ci. Je peux le relire, je suppose.
R-Stick|Bâton R
pearlcat_cloak|pearlcat_cloak
.meta|.meta
\nLungsFac |\nLungsFac
Keybind for Player 1.|Keybind pour le joueur 1.
train_view_yshift|train_view_yshift
SU|SU
Songs|Chansons
hips|hanches
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|À quel contrôleur de joueur l'échange de déclencheur s'appliquera. 0 désactive l'échange de déclencheurs. Maintenez et faites glisser vers le haut ou vers le bas pour changer.
I must resume my work. I will be waiting here, as always.|Je dois reprendre mon travail. Je t'attendrai ici, comme toujours.
