CANNOT PLAY\n|NÃO PODE JOGAR\n
RW_Outro_Theme|RW_Outro_Tema
GhostDistortion|Distorção Fantasma
Player 4|jogador 4
-|-
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|AZUL simboliza agilidade. Cada pérola azul armazenada fornecerá um salto duplo adicional
Alternatively, hold (|Como alternativa, segure (
Enable Backspear?|Habilitar Backspear?
When checked, disables the camoflague effect granted by an active pearl.|Quando marcado, desativa o efeito de camuflagem concedido por uma pérola ativa.
40|40
I already read this one. I can read it again, I suppose.|Eu já li este. Posso lê-lo novamente, suponho.
R-Stick|R-stick
pearlcat_cloak|pearlcat_cloak
.meta|.meta
\nLungsFac |\nLungsFac
Keybind for Player 1.|Tecla de atalho para o jogador 1.
train_view_yshift|train_view_yshift
SU|SU
Songs|Músicas
hips|quadris
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|A qual troca de gatilho do controlador de jogador será aplicada. 0 desativa a troca de gatilho. Segure e arraste para cima ou para baixo para alterar.
I must resume my work. I will be waiting here, as always.|Devo retomar meu trabalho. Estarei esperando aqui, como sempre.
